   0.000000E+00   0.647795E-04   0.766663E-07   0.851124E-02   0.693974E-07
   0.100000E+00   0.645576E-04   0.214083E-06   0.844859E-02   0.266616E-06
   0.200000E+00   0.642507E-04   0.386293E-06   0.838658E-02   0.617168E-06
   0.300000E+00   0.638798E-04   0.571984E-06   0.832514E-02   0.114244E-05
   0.400000E+00   0.634601E-04   0.757664E-06   0.826422E-02   0.184468E-05
   0.500000E+00   0.630047E-04   0.936747E-06   0.820378E-02   0.271014E-05
   0.600000E+00   0.625248E-04   0.110687E-05   0.814380E-02   0.373919E-05
   0.700000E+00   0.620297E-04   0.126731E-05   0.808423E-02   0.491450E-05
   0.800000E+00   0.615271E-04   0.141835E-05   0.802508E-02   0.623254E-05
   0.900000E+00   0.610225E-04   0.156081E-05   0.796631E-02   0.768240E-05
   0.100000E+01   0.605203E-04   0.169488E-05   0.790792E-02   0.925416E-05
   0.110000E+01   0.600238E-04   0.182169E-05   0.784991E-02   0.109399E-04
   0.120000E+01   0.595368E-04   0.194197E-05   0.779228E-02   0.127276E-04
   0.130000E+01   0.590650E-04   0.205713E-05   0.773502E-02   0.146112E-04
   0.140000E+01   0.586213E-04   0.217023E-05   0.767815E-02   0.165836E-04
   0.150000E+01   0.582453E-04   0.228680E-05   0.762171E-02   0.186404E-04
   0.160000E+01   0.580517E-04   0.242248E-05   0.756580E-02   0.207931E-04
   0.170000E+01   0.583607E-04   0.262929E-05   0.751067E-02   0.230751E-04
   0.180000E+01   0.600166E-04   0.309737E-05   0.745707E-02   0.255923E-04
   0.190000E+01   0.651420E-04   0.451853E-05   0.740682E-02   0.286558E-04
   0.200000E+01   0.788127E-04   0.877960E-05   0.736443E-02   0.331518E-04
   0.210000E+01   0.112589E-03   0.198608E-04   0.734040E-02   0.418136E-04
   0.220000E+01   0.191598E-03   0.460495E-04   0.735824E-02   0.624278E-04
   0.230000E+01   0.368062E-03   0.104595E-03   0.746839E-02   0.112918E-03
   0.240000E+01   0.745919E-03   0.229865E-03   0.777470E-02   0.228307E-03
   0.250000E+01   0.152348E-02   0.487405E-03   0.848261E-02   0.475718E-03
   0.260000E+01   0.306415E-02   0.996915E-03   0.998335E-02   0.982362E-03
   0.270000E+01   0.600820E-02   0.196852E-02   0.129948E-01   0.198137E-02
   0.280000E+01   0.114413E-01   0.375668E-02   0.187879E-01   0.388429E-02
   0.290000E+01   0.211363E-01   0.693729E-02   0.295355E-01   0.739186E-02
   0.300000E+01   0.378846E-01   0.124108E-01   0.488290E-01   0.136562E-01
   0.310000E+01   0.659266E-01   0.215329E-01   0.824129E-01   0.245073E-01
   0.320000E+01   0.111481E+00   0.362720E-01   0.139187E+00   0.427589E-01
   0.330000E+01   0.183356E+00   0.593870E-01   0.232519E+00   0.726002E-01
   0.340000E+01   0.293605E+00   0.946004E-01   0.381888E+00   0.120072E+00
   0.350000E+01   0.458172E+00   0.146766E+00   0.614854E+00   0.193629E+00
   0.360000E+01   0.697432E+00   0.221981E+00   0.969305E+00   0.304748E+00
   0.370000E+01   0.103655E+01   0.327612E+00   0.149589E+01   0.468551E+00
   0.380000E+01   0.150556E+01   0.472224E+00   0.226047E+01   0.704387E+00
   0.390000E+01   0.213902E+01   0.665381E+00   0.334646E+01   0.103631E+01
   0.400000E+01   0.297528E+01   0.917294E+00   0.485673E+01   0.149338E+01
   0.410000E+01   0.405525E+01   0.123834E+01   0.691494E+01   0.210973E+01
   0.420000E+01   0.542073E+01   0.163847E+01   0.966598E+01   0.292429E+01
   0.430000E+01   0.711240E+01   0.212652E+01   0.132755E+02   0.398031E+01
   0.440000E+01   0.916763E+01   0.270953E+01   0.179283E+02   0.532430E+01
   0.450000E+01   0.116182E+02   0.339210E+01   0.238252E+02   0.700486E+01
   0.460000E+01   0.144885E+02   0.417594E+01   0.311798E+02   0.907127E+01
   0.470000E+01   0.177932E+02   0.505953E+01   0.402133E+02   0.115718E+02
   0.480000E+01   0.215369E+02   0.603795E+01   0.511493E+02   0.145520E+02
   0.490000E+01   0.257131E+02   0.710312E+01   0.642083E+02   0.180533E+02
   0.500000E+01   0.303045E+02   0.824412E+01   0.796021E+02   0.221114E+02
   0.510000E+01   0.352836E+02   0.944753E+01   0.975284E+02   0.267550E+02
   0.520000E+01   0.406145E+02   0.106985E+02   0.118167E+03   0.320053E+02
   0.530000E+01   0.462542E+02   0.119809E+02   0.141674E+03   0.378756E+02
   0.540000E+01   0.521553E+02   0.132789E+02   0.168184E+03   0.443705E+02
   0.550000E+01   0.582673E+02   0.145770E+02   0.197803E+03   0.514876E+02
   0.560000E+01   0.645397E+02   0.158609E+02   0.230610E+03   0.592167E+02
   0.570000E+01   0.709229E+02   0.171180E+02   0.266659E+03   0.675415E+02
   0.580000E+01   0.773710E+02   0.183381E+02   0.305981E+03   0.764402E+02
   0.590000E+01   0.838415E+02   0.195119E+02   0.348580E+03   0.858874E+02
   0.600000E+01   0.902977E+02   0.206337E+02   0.394445E+03   0.958541E+02
   0.610000E+01   0.967076E+02   0.216985E+02   0.443543E+03   0.106309E+03
   0.620000E+01   0.103046E+03   0.227045E+02   0.495829E+03   0.117220E+03
   0.630000E+01   0.109292E+03   0.236507E+02   0.551245E+03   0.128555E+03
