#    time(ps)      <J(t,x=L)>        rms        <phi(t,x=L)>       rms  
   0.605000E+02   0.114424E+04   0.380025E+02   0.614511E+05   0.196908E+04
   0.606000E+02   0.114504E+04   0.380027E+02   0.615144E+05   0.196943E+04
   0.607000E+02   0.114584E+04   0.380018E+02   0.615774E+05   0.196976E+04
   0.608000E+02   0.114663E+04   0.380035E+02   0.616403E+05   0.197008E+04
   0.609000E+02   0.114742E+04   0.380036E+02   0.617029E+05   0.197044E+04
   0.610000E+02   0.114821E+04   0.380023E+02   0.617654E+05   0.197075E+04
   0.611000E+02   0.114899E+04   0.380018E+02   0.618276E+05   0.197106E+04
   0.612000E+02   0.114977E+04   0.380050E+02   0.618896E+05   0.197140E+04
   0.613000E+02   0.115055E+04   0.380043E+02   0.619514E+05   0.197170E+04
   0.614000E+02   0.115133E+04   0.380066E+02   0.620131E+05   0.197202E+04
   0.615000E+02   0.115210E+04   0.380062E+02   0.620746E+05   0.197231E+04
   0.616000E+02   0.115287E+04   0.380054E+02   0.621358E+05   0.197262E+04
   0.617000E+02   0.115364E+04   0.380044E+02   0.621969E+05   0.197290E+04
   0.618000E+02   0.115441E+04   0.380050E+02   0.622577E+05   0.197321E+04
   0.619000E+02   0.115517E+04   0.380065E+02   0.623184E+05   0.197348E+04
   0.620000E+02   0.115593E+04   0.380056E+02   0.623788E+05   0.197377E+04
   0.621000E+02   0.115669E+04   0.380065E+02   0.624391E+05   0.197405E+04
   0.622000E+02   0.115745E+04   0.380061E+02   0.624992E+05   0.197431E+04
   0.623000E+02   0.115820E+04   0.380070E+02   0.625591E+05   0.197460E+04
   0.624000E+02   0.115895E+04   0.380074E+02   0.626188E+05   0.197486E+04
   0.625000E+02   0.115970E+04   0.380067E+02   0.626783E+05   0.197513E+04
   0.626000E+02   0.116045E+04   0.380062E+02   0.627376E+05   0.197540E+04
   0.627000E+02   0.116119E+04   0.380060E+02   0.627967E+05   0.197566E+04
   0.628000E+02   0.116193E+04   0.380078E+02   0.628556E+05   0.197590E+04
   0.629000E+02   0.116267E+04   0.380079E+02   0.629143E+05   0.197616E+04
   0.630000E+02   0.116340E+04   0.380086E+02   0.629729E+05   0.197638E+04
   0.631000E+02   0.116414E+04   0.380080E+02   0.630312E+05   0.197663E+04
   0.632000E+02   0.116487E+04   0.380091E+02   0.630894E+05   0.197687E+04
   0.633000E+02   0.116560E+04   0.380075E+02   0.631474E+05   0.197710E+04
   0.634000E+02   0.116632E+04   0.380081E+02   0.632052E+05   0.197733E+04
   0.635000E+02   0.116704E+04   0.380076E+02   0.632628E+05   0.197756E+04
   0.636000E+02   0.116777E+04   0.380082E+02   0.633202E+05   0.197778E+04
   0.637000E+02   0.116848E+04   0.380087E+02   0.633774E+05   0.197801E+04
   0.638000E+02   0.116920E+04   0.380072E+02   0.634345E+05   0.197822E+04
   0.639000E+02   0.116991E+04   0.380071E+02   0.634913E+05   0.197842E+04
   0.640000E+02   0.117062E+04   0.380071E+02   0.635480E+05   0.197863E+04
   0.641000E+02   0.117133E+04   0.380084E+02   0.636045E+05   0.197883E+04
   0.642000E+02   0.117204E+04   0.380077E+02   0.636608E+05   0.197901E+04
   0.643000E+02   0.117274E+04   0.380075E+02   0.637169E+05   0.197922E+04
   0.644000E+02   0.117344E+04   0.380070E+02   0.637728E+05   0.197941E+04
   0.645000E+02   0.117414E+04   0.380082E+02   0.638286E+05   0.197960E+04
   0.646000E+02   0.117484E+04   0.380062E+02   0.638842E+05   0.197979E+04
   0.647000E+02   0.117553E+04   0.380076E+02   0.639396E+05   0.197997E+04
   0.648000E+02   0.117622E+04   0.380074E+02   0.639948E+05   0.198016E+04
   0.649000E+02   0.117691E+04   0.380068E+02   0.640498E+05   0.198032E+04
   0.650000E+02   0.117760E+04   0.380067E+02   0.641046E+05   0.198051E+04
   0.651000E+02   0.117828E+04   0.380049E+02   0.641593E+05   0.198065E+04
   0.652000E+02   0.117896E+04   0.380057E+02   0.642138E+05   0.198082E+04
   0.653000E+02   0.117964E+04   0.380075E+02   0.642681E+05   0.198098E+04
   0.654000E+02   0.118032E+04   0.380055E+02   0.643222E+05   0.198114E+04
   0.655000E+02   0.118100E+04   0.380072E+02   0.643762E+05   0.198130E+04
   0.656000E+02   0.118167E+04   0.380063E+02   0.644300E+05   0.198144E+04
   0.657000E+02   0.118234E+04   0.380069E+02   0.644836E+05   0.198160E+04
   0.658000E+02   0.118301E+04   0.380066E+02   0.645370E+05   0.198176E+04
   0.659000E+02   0.118367E+04   0.380029E+02   0.645903E+05   0.198189E+04
   0.660000E+02   0.118434E+04   0.380042E+02   0.646434E+05   0.198203E+04
   0.661000E+02   0.118500E+04   0.380041E+02   0.646963E+05   0.198216E+04
   0.662000E+02   0.118566E+04   0.380041E+02   0.647490E+05   0.198232E+04
   0.663000E+02   0.118631E+04   0.380039E+02   0.648016E+05   0.198243E+04
   0.664000E+02   0.118697E+04   0.380062E+02   0.648539E+05   0.198257E+04
   0.665000E+02   0.118762E+04   0.380039E+02   0.649062E+05   0.198268E+04
   0.666000E+02   0.118827E+04   0.380039E+02   0.649582E+05   0.198280E+04
   0.667000E+02   0.118892E+04   0.380037E+02   0.650101E+05   0.198293E+04
   0.668000E+02   0.118956E+04   0.380022E+02   0.650618E+05   0.198303E+04
   0.669000E+02   0.119021E+04   0.380041E+02   0.651133E+05   0.198314E+04
   0.670000E+02   0.119085E+04   0.380037E+02   0.651647E+05   0.198327E+04
   0.671000E+02   0.119148E+04   0.380023E+02   0.652158E+05   0.198337E+04
   0.672000E+02   0.119212E+04   0.380040E+02   0.652669E+05   0.198348E+04
   0.673000E+02   0.119275E+04   0.380019E+02   0.653177E+05   0.198357E+04
   0.674000E+02   0.119339E+04   0.380013E+02   0.653684E+05   0.198368E+04
   0.675000E+02   0.119402E+04   0.380009E+02   0.654189E+05   0.198376E+04
   0.676000E+02   0.119465E+04   0.380008E+02   0.654693E+05   0.198385E+04
   0.677000E+02   0.119527E+04   0.380009E+02   0.655194E+05   0.198393E+04
   0.678000E+02   0.119590E+04   0.380010E+02   0.655695E+05   0.198404E+04
   0.679000E+02   0.119652E+04   0.379995E+02   0.656193E+05   0.198409E+04
   0.680000E+02   0.119714E+04   0.380011E+02   0.656690E+05   0.198419E+04
   0.681000E+02   0.119775E+04   0.379999E+02   0.657185E+05   0.198428E+04
   0.682000E+02   0.119837E+04   0.379998E+02   0.657679E+05   0.198434E+04
   0.683000E+02   0.119898E+04   0.379987E+02   0.658171E+05   0.198440E+04
   0.684000E+02   0.119959E+04   0.379986E+02   0.658661E+05   0.198449E+04
   0.685000E+02   0.120020E+04   0.379984E+02   0.659149E+05   0.198456E+04
   0.686000E+02   0.120080E+04   0.379995E+02   0.659637E+05   0.198461E+04
   0.687000E+02   0.120141E+04   0.379991E+02   0.660122E+05   0.198466E+04
   0.688000E+02   0.120201E+04   0.379977E+02   0.660606E+05   0.198474E+04
   0.689000E+02   0.120261E+04   0.379979E+02   0.661088E+05   0.198479E+04
   0.690000E+02   0.120321E+04   0.379968E+02   0.661569E+05   0.198485E+04
   0.691000E+02   0.120381E+04   0.379963E+02   0.662048E+05   0.198490E+04
   0.692000E+02   0.120440E+04   0.379973E+02   0.662525E+05   0.198496E+04
   0.693000E+02   0.120499E+04   0.379974E+02   0.663001E+05   0.198499E+04
   0.694000E+02   0.120558E+04   0.379969E+02   0.663475E+05   0.198506E+04
   0.695000E+02   0.120617E+04   0.379959E+02   0.663948E+05   0.198509E+04
   0.696000E+02   0.120676E+04   0.379950E+02   0.664419E+05   0.198512E+04
   0.697000E+02   0.120734E+04   0.379945E+02   0.664888E+05   0.198516E+04
   0.698000E+02   0.120792E+04   0.379960E+02   0.665356E+05   0.198520E+04
   0.699000E+02   0.120850E+04   0.379965E+02   0.665823E+05   0.198523E+04
   0.700000E+02   0.120908E+04   0.379953E+02   0.666287E+05   0.198525E+04
   0.701000E+02   0.120965E+04   0.379936E+02   0.666751E+05   0.198530E+04
   0.702000E+02   0.121023E+04   0.379939E+02   0.667212E+05   0.198531E+04
   0.703000E+02   0.121080E+04   0.379919E+02   0.667672E+05   0.198533E+04
   0.704000E+02   0.121137E+04   0.379915E+02   0.668131E+05   0.198536E+04
   0.705000E+02   0.121194E+04   0.379938E+02   0.668588E+05   0.198537E+04
   0.706000E+02   0.121250E+04   0.379923E+02   0.669044E+05   0.198540E+04
   0.707000E+02   0.121307E+04   0.379910E+02   0.669498E+05   0.198540E+04
   0.708000E+02   0.121363E+04   0.379933E+02   0.669950E+05   0.198545E+04
   0.709000E+02   0.121419E+04   0.379921E+02   0.670401E+05   0.198543E+04
   0.710000E+02   0.121475E+04   0.379906E+02   0.670851E+05   0.198543E+04
   0.711000E+02   0.121530E+04   0.379901E+02   0.671299E+05   0.198544E+04
   0.712000E+02   0.121586E+04   0.379918E+02   0.671745E+05   0.198545E+04
   0.713000E+02   0.121641E+04   0.379921E+02   0.672190E+05   0.198545E+04
   0.714000E+02   0.121696E+04   0.379881E+02   0.672634E+05   0.198547E+04
   0.715000E+02   0.121751E+04   0.379904E+02   0.673076E+05   0.198545E+04
   0.716000E+02   0.121805E+04   0.379897E+02   0.673516E+05   0.198545E+04
   0.717000E+02   0.121860E+04   0.379894E+02   0.673955E+05   0.198546E+04
   0.718000E+02   0.121914E+04   0.379888E+02   0.674393E+05   0.198543E+04
   0.719000E+02   0.121968E+04   0.379911E+02   0.674829E+05   0.198543E+04
   0.720000E+02   0.122022E+04   0.379905E+02   0.675264E+05   0.198541E+04
   0.721000E+02   0.122076E+04   0.379886E+02   0.675697E+05   0.198540E+04
   0.722000E+02   0.122129E+04   0.379881E+02   0.676128E+05   0.198539E+04
   0.723000E+02   0.122183E+04   0.379867E+02   0.676559E+05   0.198538E+04
   0.724000E+02   0.122236E+04   0.379873E+02   0.676988E+05   0.198534E+04
   0.725000E+02   0.122289E+04   0.379866E+02   0.677415E+05   0.198532E+04
   0.726000E+02   0.122341E+04   0.379853E+02   0.677841E+05   0.198532E+04
   0.727000E+02   0.122394E+04   0.379866E+02   0.678265E+05   0.198527E+04
   0.728000E+02   0.122447E+04   0.379866E+02   0.678688E+05   0.198526E+04
   0.729000E+02   0.122499E+04   0.379855E+02   0.679110E+05   0.198525E+04
   0.730000E+02   0.122551E+04   0.379844E+02   0.679530E+05   0.198520E+04
   0.731000E+02   0.122603E+04   0.379839E+02   0.679949E+05   0.198518E+04
   0.732000E+02   0.122654E+04   0.379860E+02   0.680366E+05   0.198513E+04
   0.733000E+02   0.122706E+04   0.379852E+02   0.680782E+05   0.198509E+04
   0.734000E+02   0.122757E+04   0.379828E+02   0.681197E+05   0.198506E+04
   0.735000E+02   0.122808E+04   0.379846E+02   0.681610E+05   0.198503E+04
   0.736000E+02   0.122859E+04   0.379830E+02   0.682022E+05   0.198497E+04
   0.737000E+02   0.122910E+04   0.379834E+02   0.682432E+05   0.198494E+04
   0.738000E+02   0.122961E+04   0.379830E+02   0.682841E+05   0.198491E+04
   0.739000E+02   0.123011E+04   0.379824E+02   0.683249E+05   0.198486E+04
   0.740000E+02   0.123061E+04   0.379825E+02   0.683655E+05   0.198481E+04
   0.741000E+02   0.123111E+04   0.379820E+02   0.684060E+05   0.198477E+04
   0.742000E+02   0.123161E+04   0.379827E+02   0.684463E+05   0.198471E+04
   0.743000E+02   0.123211E+04   0.379825E+02   0.684865E+05   0.198467E+04
   0.744000E+02   0.123261E+04   0.379823E+02   0.685266E+05   0.198459E+04
   0.745000E+02   0.123310E+04   0.379820E+02   0.685666E+05   0.198455E+04
   0.746000E+02   0.123359E+04   0.379824E+02   0.686064E+05   0.198449E+04
   0.747000E+02   0.123408E+04   0.379810E+02   0.686460E+05   0.198443E+04
   0.748000E+02   0.123457E+04   0.379808E+02   0.686856E+05   0.198438E+04
   0.749000E+02   0.123505E+04   0.379807E+02   0.687249E+05   0.198432E+04
   0.750000E+02   0.123554E+04   0.379809E+02   0.687642E+05   0.198426E+04
   0.751000E+02   0.123603E+04   0.379807E+02   0.688034E+05   0.198419E+04
   0.752000E+02   0.123651E+04   0.379812E+02   0.688424E+05   0.198415E+04
   0.753000E+02   0.123699E+04   0.379796E+02   0.688812E+05   0.198404E+04
   0.754000E+02   0.123746E+04   0.379803E+02   0.689200E+05   0.198399E+04
   0.755000E+02   0.123794E+04   0.379796E+02   0.689586E+05   0.198393E+04
   0.756000E+02   0.123842E+04   0.379790E+02   0.689970E+05   0.198386E+04
   0.757000E+02   0.123889E+04   0.379796E+02   0.690354E+05   0.198379E+04
   0.758000E+02   0.123936E+04   0.379793E+02   0.690736E+05   0.198370E+04
   0.759000E+02   0.123983E+04   0.379788E+02   0.691117E+05   0.198365E+04
   0.760000E+02   0.124030E+04   0.379788E+02   0.691496E+05   0.198355E+04
   0.761000E+02   0.124077E+04   0.379787E+02   0.691874E+05   0.198347E+04
   0.762000E+02   0.124123E+04   0.379777E+02   0.692251E+05   0.198343E+04
   0.763000E+02   0.124170E+04   0.379800E+02   0.692627E+05   0.198333E+04
   0.764000E+02   0.124216E+04   0.379774E+02   0.693001E+05   0.198324E+04
   0.765000E+02   0.124262E+04   0.379790E+02   0.693374E+05   0.198317E+04
   0.766000E+02   0.124308E+04   0.379801E+02   0.693746E+05   0.198309E+04
   0.767000E+02   0.124354E+04   0.379786E+02   0.694117E+05   0.198302E+04
   0.768000E+02   0.124399E+04   0.379777E+02   0.694486E+05   0.198293E+04
   0.769000E+02   0.124444E+04   0.379769E+02   0.694854E+05   0.198285E+04
   0.770000E+02   0.124490E+04   0.379782E+02   0.695221E+05   0.198276E+04
   0.771000E+02   0.124535E+04   0.379756E+02   0.695586E+05   0.198266E+04
   0.772000E+02   0.124580E+04   0.379766E+02   0.695951E+05   0.198256E+04
   0.773000E+02   0.124625E+04   0.379784E+02   0.696314E+05   0.198249E+04
   0.774000E+02   0.124669E+04   0.379757E+02   0.696675E+05   0.198237E+04
   0.775000E+02   0.124714E+04   0.379785E+02   0.697036E+05   0.198229E+04
   0.776000E+02   0.124758E+04   0.379778E+02   0.697395E+05   0.198221E+04
   0.777000E+02   0.124802E+04   0.379767E+02   0.697754E+05   0.198211E+04
   0.778000E+02   0.124846E+04   0.379766E+02   0.698110E+05   0.198203E+04
   0.779000E+02   0.124890E+04   0.379777E+02   0.698466E+05   0.198191E+04
   0.780000E+02   0.124934E+04   0.379777E+02   0.698820E+05   0.198181E+04
   0.781000E+02   0.124977E+04   0.379773E+02   0.699174E+05   0.198171E+04
   0.782000E+02   0.125020E+04   0.379769E+02   0.699526E+05   0.198163E+04
   0.783000E+02   0.125064E+04   0.379765E+02   0.699876E+05   0.198152E+04
   0.784000E+02   0.125107E+04   0.379763E+02   0.700226E+05   0.198143E+04
   0.785000E+02   0.125150E+04   0.379791E+02   0.700574E+05   0.198132E+04
   0.786000E+02   0.125192E+04   0.379782E+02   0.700922E+05   0.198122E+04
   0.787000E+02   0.125235E+04   0.379784E+02   0.701268E+05   0.198110E+04
   0.788000E+02   0.125278E+04   0.379777E+02   0.701612E+05   0.198100E+04
   0.789000E+02   0.125320E+04   0.379757E+02   0.701956E+05   0.198089E+04
   0.790000E+02   0.125362E+04   0.379768E+02   0.702299E+05   0.198080E+04
   0.791000E+02   0.125404E+04   0.379780E+02   0.702640E+05   0.198068E+04
   0.792000E+02   0.125446E+04   0.379768E+02   0.702980E+05   0.198058E+04
   0.793000E+02   0.125488E+04   0.379770E+02   0.703319E+05   0.198047E+04
   0.794000E+02   0.125529E+04   0.379765E+02   0.703657E+05   0.198036E+04
   0.795000E+02   0.125570E+04   0.379762E+02   0.703994E+05   0.198025E+04
   0.796000E+02   0.125612E+04   0.379758E+02   0.704329E+05   0.198012E+04
   0.797000E+02   0.125653E+04   0.379783E+02   0.704663E+05   0.198003E+04
   0.798000E+02   0.125694E+04   0.379765E+02   0.704996E+05   0.197994E+04
   0.799000E+02   0.125735E+04   0.379779E+02   0.705328E+05   0.197979E+04
   0.800000E+02   0.125776E+04   0.379758E+02   0.705659E+05   0.197970E+04
   0.801000E+02   0.125816E+04   0.379755E+02   0.705989E+05   0.197954E+04
   0.802000E+02   0.125856E+04   0.379777E+02   0.706318E+05   0.197945E+04
   0.803000E+02   0.125897E+04   0.379784E+02   0.706645E+05   0.197934E+04
   0.804000E+02   0.125937E+04   0.379776E+02   0.706972E+05   0.197922E+04
   0.805000E+02   0.125977E+04   0.379778E+02   0.707297E+05   0.197909E+04
   0.806000E+02   0.126017E+04   0.379776E+02   0.707621E+05   0.197897E+04
   0.807000E+02   0.126057E+04   0.379785E+02   0.707944E+05   0.197888E+04
   0.808000E+02   0.126096E+04   0.379784E+02   0.708266E+05   0.197874E+04
   0.809000E+02   0.126136E+04   0.379781E+02   0.708587E+05   0.197861E+04
   0.810000E+02   0.126175E+04   0.379794E+02   0.708906E+05   0.197848E+04
   0.811000E+02   0.126214E+04   0.379792E+02   0.709225E+05   0.197837E+04
   0.812000E+02   0.126253E+04   0.379789E+02   0.709542E+05   0.197823E+04
   0.813000E+02   0.126292E+04   0.379785E+02   0.709859E+05   0.197813E+04
   0.814000E+02   0.126331E+04   0.379796E+02   0.710174E+05   0.197801E+04
   0.815000E+02   0.126369E+04   0.379796E+02   0.710488E+05   0.197788E+04
   0.816000E+02   0.126408E+04   0.379826E+02   0.710801E+05   0.197773E+04
   0.817000E+02   0.126446E+04   0.379805E+02   0.711114E+05   0.197761E+04
   0.818000E+02   0.126485E+04   0.379802E+02   0.711424E+05   0.197751E+04
   0.819000E+02   0.126522E+04   0.379799E+02   0.711734E+05   0.197737E+04
   0.820000E+02   0.126560E+04   0.379814E+02   0.712043E+05   0.197725E+04
   0.821000E+02   0.126598E+04   0.379815E+02   0.712351E+05   0.197712E+04
   0.822000E+02   0.126636E+04   0.379810E+02   0.712657E+05   0.197698E+04
   0.823000E+02   0.126673E+04   0.379805E+02   0.712963E+05   0.197685E+04
   0.824000E+02   0.126711E+04   0.379807E+02   0.713268E+05   0.197673E+04
   0.825000E+02   0.126748E+04   0.379800E+02   0.713571E+05   0.197658E+04
   0.826000E+02   0.126785E+04   0.379821E+02   0.713874E+05   0.197648E+04
   0.827000E+02   0.126822E+04   0.379818E+02   0.714175E+05   0.197633E+04
   0.828000E+02   0.126859E+04   0.379831E+02   0.714476E+05   0.197621E+04
   0.829000E+02   0.126896E+04   0.379831E+02   0.714775E+05   0.197609E+04
   0.830000E+02   0.126933E+04   0.379826E+02   0.715073E+05   0.197593E+04
   0.831000E+02   0.126969E+04   0.379844E+02   0.715371E+05   0.197580E+04
   0.832000E+02   0.127005E+04   0.379838E+02   0.715667E+05   0.197566E+04
   0.833000E+02   0.127042E+04   0.379859E+02   0.715962E+05   0.197553E+04
   0.834000E+02   0.127078E+04   0.379832E+02   0.716256E+05   0.197540E+04
   0.835000E+02   0.127114E+04   0.379852E+02   0.716549E+05   0.197526E+04
   0.836000E+02   0.127150E+04   0.379855E+02   0.716842E+05   0.197514E+04
   0.837000E+02   0.127185E+04   0.379861E+02   0.717133E+05   0.197499E+04
   0.838000E+02   0.127221E+04   0.379857E+02   0.717423E+05   0.197486E+04
   0.839000E+02   0.127256E+04   0.379861E+02   0.717712E+05   0.197473E+04
   0.840000E+02   0.127292E+04   0.379860E+02   0.718000E+05   0.197461E+04
   0.841000E+02   0.127327E+04   0.379873E+02   0.718288E+05   0.197446E+04
   0.842000E+02   0.127362E+04   0.379875E+02   0.718574E+05   0.197432E+04
   0.843000E+02   0.127397E+04   0.379882E+02   0.718859E+05   0.197419E+04
   0.844000E+02   0.127432E+04   0.379871E+02   0.719143E+05   0.197404E+04
   0.845000E+02   0.127467E+04   0.379883E+02   0.719426E+05   0.197391E+04
   0.846000E+02   0.127501E+04   0.379884E+02   0.719709E+05   0.197376E+04
   0.847000E+02   0.127536E+04   0.379915E+02   0.719989E+05   0.197362E+04
   0.848000E+02   0.127570E+04   0.379907E+02   0.720270E+05   0.197349E+04
   0.849000E+02   0.127604E+04   0.379892E+02   0.720549E+05   0.197335E+04
   0.850000E+02   0.127639E+04   0.379912E+02   0.720828E+05   0.197321E+04
   0.851000E+02   0.127673E+04   0.379914E+02   0.721105E+05   0.197309E+04
   0.852000E+02   0.127707E+04   0.379907E+02   0.721381E+05   0.197294E+04
   0.853000E+02   0.127740E+04   0.379915E+02   0.721657E+05   0.197279E+04
   0.854000E+02   0.127774E+04   0.379931E+02   0.721931E+05   0.197268E+04
   0.855000E+02   0.127807E+04   0.379931E+02   0.722205E+05   0.197251E+04
   0.856000E+02   0.127841E+04   0.379938E+02   0.722477E+05   0.197238E+04
   0.857000E+02   0.127874E+04   0.379942E+02   0.722749E+05   0.197225E+04
   0.858000E+02   0.127907E+04   0.379949E+02   0.723020E+05   0.197209E+04
   0.859000E+02   0.127940E+04   0.379967E+02   0.723289E+05   0.197196E+04
   0.860000E+02   0.127973E+04   0.379936E+02   0.723558E+05   0.197181E+04
   0.861000E+02   0.128006E+04   0.379968E+02   0.723826E+05   0.197169E+04
   0.862000E+02   0.128039E+04   0.379971E+02   0.724093E+05   0.197151E+04
   0.863000E+02   0.128071E+04   0.379966E+02   0.724359E+05   0.197139E+04
   0.864000E+02   0.128104E+04   0.379967E+02   0.724624E+05   0.197124E+04
   0.865000E+02   0.128136E+04   0.379968E+02   0.724888E+05   0.197112E+04
   0.866000E+02   0.128168E+04   0.380004E+02   0.725151E+05   0.197095E+04
   0.867000E+02   0.128201E+04   0.379997E+02   0.725414E+05   0.197084E+04
   0.868000E+02   0.128233E+04   0.379997E+02   0.725675E+05   0.197069E+04
   0.869000E+02   0.128265E+04   0.380009E+02   0.725936E+05   0.197054E+04
   0.870000E+02   0.128296E+04   0.380009E+02   0.726195E+05   0.197039E+04
   0.871000E+02   0.128328E+04   0.380010E+02   0.726454E+05   0.197026E+04
   0.872000E+02   0.128359E+04   0.380010E+02   0.726712E+05   0.197010E+04
   0.873000E+02   0.128391E+04   0.380016E+02   0.726969E+05   0.196997E+04
   0.874000E+02   0.128422E+04   0.380041E+02   0.727225E+05   0.196983E+04
   0.875000E+02   0.128454E+04   0.380041E+02   0.727480E+05   0.196969E+04
   0.876000E+02   0.128485E+04   0.380040E+02   0.727734E+05   0.196954E+04
   0.877000E+02   0.128516E+04   0.380047E+02   0.727987E+05   0.196940E+04
   0.878000E+02   0.128547E+04   0.380072E+02   0.728240E+05   0.196924E+04
   0.879000E+02   0.128577E+04   0.380058E+02   0.728492E+05   0.196911E+04
   0.880000E+02   0.128608E+04   0.380072E+02   0.728742E+05   0.196897E+04
   0.881000E+02   0.128639E+04   0.380079E+02   0.728992E+05   0.196881E+04
   0.882000E+02   0.128669E+04   0.380099E+02   0.729241E+05   0.196868E+04
   0.883000E+02   0.128700E+04   0.380106E+02   0.729489E+05   0.196854E+04
   0.884000E+02   0.128730E+04   0.380099E+02   0.729736E+05   0.196841E+04
   0.885000E+02   0.128760E+04   0.380106E+02   0.729983E+05   0.196826E+04
   0.886000E+02   0.128790E+04   0.380117E+02   0.730228E+05   0.196811E+04
   0.887000E+02   0.128820E+04   0.380119E+02   0.730473E+05   0.196797E+04
   0.888000E+02   0.128850E+04   0.380141E+02   0.730716E+05   0.196780E+04
   0.889000E+02   0.128880E+04   0.380137E+02   0.730959E+05   0.196768E+04
   0.890000E+02   0.128909E+04   0.380127E+02   0.731201E+05   0.196753E+04
   0.891000E+02   0.128939E+04   0.380170E+02   0.731443E+05   0.196739E+04
   0.892000E+02   0.128968E+04   0.380171E+02   0.731683E+05   0.196724E+04
   0.893000E+02   0.128997E+04   0.380156E+02   0.731923E+05   0.196709E+04
   0.894000E+02   0.129027E+04   0.380160E+02   0.732161E+05   0.196696E+04
   0.895000E+02   0.129056E+04   0.380179E+02   0.732399E+05   0.196680E+04
   0.896000E+02   0.129085E+04   0.380202E+02   0.732636E+05   0.196669E+04
   0.897000E+02   0.129114E+04   0.380187E+02   0.732872E+05   0.196653E+04
   0.898000E+02   0.129142E+04   0.380214E+02   0.733108E+05   0.196639E+04
   0.899000E+02   0.129171E+04   0.380211E+02   0.733343E+05   0.196626E+04
   0.900000E+02   0.129200E+04   0.380221E+02   0.733577E+05   0.196609E+04
   0.901000E+02   0.129228E+04   0.380220E+02   0.733809E+05   0.196596E+04
   0.902000E+02   0.129257E+04   0.380233E+02   0.734041E+05   0.196582E+04
   0.903000E+02   0.129285E+04   0.380246E+02   0.734273E+05   0.196569E+04
   0.904000E+02   0.129313E+04   0.380252E+02   0.734503E+05   0.196555E+04
   0.905000E+02   0.129341E+04   0.380245E+02   0.734733E+05   0.196539E+04
   0.906000E+02   0.129369E+04   0.380265E+02   0.734962E+05   0.196525E+04
   0.907000E+02   0.129397E+04   0.380281E+02   0.735190E+05   0.196510E+04
   0.908000E+02   0.129425E+04   0.380294E+02   0.735417E+05   0.196496E+04
   0.909000E+02   0.129452E+04   0.380302E+02   0.735644E+05   0.196482E+04
   0.910000E+02   0.129480E+04   0.380315E+02   0.735870E+05   0.196467E+04
   0.911000E+02   0.129508E+04   0.380317E+02   0.736094E+05   0.196453E+04
   0.912000E+02   0.129535E+04   0.380323E+02   0.736319E+05   0.196439E+04
   0.913000E+02   0.129562E+04   0.380331E+02   0.736542E+05   0.196425E+04
   0.914000E+02   0.129589E+04   0.380311E+02   0.736764E+05   0.196408E+04
   0.915000E+02   0.129616E+04   0.380345E+02   0.736986E+05   0.196399E+04
   0.916000E+02   0.129643E+04   0.380368E+02   0.737207E+05   0.196383E+04
   0.917000E+02   0.129670E+04   0.380343E+02   0.737428E+05   0.196370E+04
   0.918000E+02   0.129697E+04   0.380379E+02   0.737647E+05   0.196356E+04
   0.919000E+02   0.129724E+04   0.380394E+02   0.737866E+05   0.196342E+04
   0.920000E+02   0.129751E+04   0.380383E+02   0.738084E+05   0.196327E+04
   0.921000E+02   0.129777E+04   0.380413E+02   0.738301E+05   0.196315E+04
   0.922000E+02   0.129804E+04   0.380409E+02   0.738517E+05   0.196299E+04
   0.923000E+02   0.129830E+04   0.380413E+02   0.738733E+05   0.196283E+04
   0.924000E+02   0.129856E+04   0.380445E+02   0.738948E+05   0.196271E+04
   0.925000E+02   0.129882E+04   0.380425E+02   0.739162E+05   0.196256E+04
   0.926000E+02   0.129908E+04   0.380467E+02   0.739375E+05   0.196243E+04
   0.927000E+02   0.129935E+04   0.380459E+02   0.739588E+05   0.196230E+04
   0.928000E+02   0.129960E+04   0.380477E+02   0.739800E+05   0.196218E+04
   0.929000E+02   0.129986E+04   0.380493E+02   0.740011E+05   0.196202E+04
   0.930000E+02   0.130012E+04   0.380495E+02   0.740221E+05   0.196187E+04
   0.931000E+02   0.130037E+04   0.380497E+02   0.740431E+05   0.196174E+04
   0.932000E+02   0.130063E+04   0.380511E+02   0.740640E+05   0.196159E+04
   0.933000E+02   0.130088E+04   0.380529E+02   0.740848E+05   0.196145E+04
   0.934000E+02   0.130113E+04   0.380513E+02   0.741056E+05   0.196132E+04
   0.935000E+02   0.130139E+04   0.380524E+02   0.741262E+05   0.196119E+04
   0.936000E+02   0.130164E+04   0.380549E+02   0.741468E+05   0.196106E+04
   0.937000E+02   0.130189E+04   0.380559E+02   0.741674E+05   0.196090E+04
   0.938000E+02   0.130214E+04   0.380576E+02   0.741878E+05   0.196077E+04
   0.939000E+02   0.130239E+04   0.380584E+02   0.742082E+05   0.196063E+04
   0.940000E+02   0.130264E+04   0.380589E+02   0.742285E+05   0.196050E+04
   0.941000E+02   0.130289E+04   0.380602E+02   0.742488E+05   0.196037E+04
   0.942000E+02   0.130313E+04   0.380608E+02   0.742689E+05   0.196024E+04
   0.943000E+02   0.130338E+04   0.380605E+02   0.742890E+05   0.196012E+04
   0.944000E+02   0.130362E+04   0.380608E+02   0.743091E+05   0.195997E+04
