   0.000000E+00   0.648337E-04   0.438576E-07   0.851129E-02   0.361802E-07
   0.100000E+00   0.646818E-04   0.132899E-06   0.844878E-02   0.150851E-06
   0.200000E+00   0.644207E-04   0.252740E-06   0.838696E-02   0.369031E-06
   0.300000E+00   0.640552E-04   0.395312E-06   0.832575E-02   0.709902E-06
   0.400000E+00   0.636026E-04   0.554720E-06   0.826507E-02   0.118154E-05
   0.500000E+00   0.630859E-04   0.721030E-06   0.820484E-02   0.178971E-05
   0.600000E+00   0.625278E-04   0.881942E-06   0.814502E-02   0.253240E-05
   0.700000E+00   0.619474E-04   0.102752E-05   0.808557E-02   0.340140E-05
   0.800000E+00   0.613587E-04   0.115314E-05   0.802646E-02   0.438913E-05
   0.900000E+00   0.607709E-04   0.126003E-05   0.796767E-02   0.548191E-05
   0.100000E+01   0.601902E-04   0.135287E-05   0.790919E-02   0.666701E-05
   0.110000E+01   0.596203E-04   0.143684E-05   0.785103E-02   0.793683E-05
   0.120000E+01   0.590641E-04   0.151818E-05   0.779317E-02   0.928316E-05
   0.130000E+01   0.585265E-04   0.160016E-05   0.773562E-02   0.107065E-04
   0.140000E+01   0.580176E-04   0.168433E-05   0.767839E-02   0.122045E-04
   0.150000E+01   0.575635E-04   0.177288E-05   0.762151E-02   0.137730E-04
   0.160000E+01   0.572381E-04   0.186680E-05   0.756506E-02   0.154227E-04
   0.170000E+01   0.572499E-04   0.197618E-05   0.750922E-02   0.171635E-04
   0.180000E+01   0.581550E-04   0.214166E-05   0.745445E-02   0.190379E-04
   0.190000E+01   0.613579E-04   0.260137E-05   0.740200E-02   0.211430E-04
   0.200000E+01   0.702270E-04   0.429711E-05   0.735485E-02   0.237626E-04
   0.210000E+01   0.924438E-04   0.939903E-05   0.732000E-02   0.277956E-04
   0.220000E+01   0.144709E-03   0.220793E-04   0.731314E-02   0.362824E-04
   0.230000E+01   0.261721E-03   0.509640E-04   0.736788E-02   0.579116E-04
   0.240000E+01   0.512506E-03   0.113474E-03   0.755342E-02   0.111154E-03
   0.250000E+01   0.102878E-02   0.243081E-03   0.800662E-02   0.230205E-03
   0.260000E+01   0.205182E-02   0.501284E-03   0.898801E-02   0.479088E-03
   0.270000E+01   0.400642E-02   0.996427E-03   0.109754E-01   0.975962E-03
   0.280000E+01   0.761212E-02   0.191187E-02   0.148137E-01   0.193076E-02
   0.290000E+01   0.140437E-01   0.354585E-02   0.219468E-01   0.370272E-02
   0.300000E+01   0.251489E-01   0.636558E-02   0.347591E-01   0.688456E-02
   0.310000E+01   0.437315E-01   0.110758E-01   0.570606E-01   0.124209E-01
   0.320000E+01   0.738991E-01   0.186999E-01   0.947479E-01   0.217667E-01
   0.330000E+01   0.121464E+00   0.306709E-01   0.156669E+00   0.370913E-01
   0.340000E+01   0.194368E+00   0.489234E-01   0.255700E+00   0.615268E-01
