   0.000000E+00   0.647849E-04   0.117386E-06   0.851124E-02   0.109110E-06
   0.100000E+00   0.645550E-04   0.307320E-06   0.844861E-02   0.401757E-06
   0.200000E+00   0.642127E-04   0.528494E-06   0.838659E-02   0.902796E-06
   0.300000E+00   0.637794E-04   0.759053E-06   0.832510E-02   0.161987E-05
   0.400000E+00   0.632786E-04   0.985880E-06   0.826408E-02   0.254936E-05
   0.500000E+00   0.627320E-04   0.119999E-05   0.820347E-02   0.367662E-05
   0.600000E+00   0.621578E-04   0.139655E-05   0.814323E-02   0.498915E-05
   0.700000E+00   0.615698E-04   0.157440E-05   0.808334E-02   0.647130E-05
   0.800000E+00   0.609789E-04   0.173439E-05   0.802376E-02   0.811122E-05
   0.900000E+00   0.603921E-04   0.187839E-05   0.796450E-02   0.990049E-05
   0.100000E+01   0.598144E-04   0.200917E-05   0.790555E-02   0.118192E-04
   0.110000E+01   0.592506E-04   0.212828E-05   0.784691E-02   0.138577E-04
   0.120000E+01   0.587030E-04   0.223739E-05   0.778860E-02   0.160024E-04
   0.130000E+01   0.581760E-04   0.233700E-05   0.773061E-02   0.182402E-04
   0.140000E+01   0.576798E-04   0.242624E-05   0.767298E-02   0.205571E-04
   0.150000E+01   0.572420E-04   0.250306E-05   0.761572E-02   0.229362E-04
   0.160000E+01   0.569422E-04   0.256410E-05   0.755891E-02   0.253611E-04
   0.170000E+01   0.570042E-04   0.259793E-05   0.750276E-02   0.278095E-04
   0.180000E+01   0.580231E-04   0.259500E-05   0.744777E-02   0.302403E-04
   0.190000E+01   0.615023E-04   0.267699E-05   0.739526E-02   0.325777E-04
   0.200000E+01   0.710515E-04   0.383941E-05   0.734842E-02   0.346651E-04
   0.210000E+01   0.948947E-04   0.867666E-05   0.731476E-02   0.363852E-04
   0.220000E+01   0.150934E-03   0.212732E-04   0.731107E-02   0.388943E-04
   0.230000E+01   0.276376E-03   0.499838E-04   0.737338E-02   0.506800E-04
   0.240000E+01   0.545327E-03   0.111870E-03   0.757591E-02   0.957632E-04
   0.250000E+01   0.109926E-02   0.239675E-03   0.806558E-02   0.210054E-03
   0.260000E+01   0.219760E-02   0.493409E-03   0.912229E-02   0.454402E-03
   0.270000E+01   0.429761E-02   0.978493E-03   0.112599E-01   0.943080E-03
   0.280000E+01   0.817491E-02   0.187284E-02   0.153884E-01   0.188014E-02
   0.290000E+01   0.150970E-01   0.346490E-02   0.230642E-01   0.361415E-02
   0.300000E+01   0.270606E-01   0.620510E-02   0.368609E-01   0.671861E-02
   0.310000E+01   0.471003E-01   0.107703E-01   0.608966E-01   0.121046E-01
   0.320000E+01   0.796692E-01   0.181394E-01   0.101554E+00   0.211708E-01
   0.330000E+01   0.131078E+00   0.296755E-01   0.168424E+00   0.359939E-01
   0.340000E+01   0.209974E+00   0.472069E-01   0.275491E+00   0.595575E-01
   0.350000E+01   0.327803E+00   0.730949E-01   0.442554E+00   0.960148E-01
   0.360000E+01   0.499217E+00   0.110276E+00   0.696856E+00   0.150971E+00
   0.370000E+01   0.742341E+00   0.162256E+00   0.107485E+01   0.231758E+00
   0.380000E+01   0.107884E+01   0.233046E+00   0.162400E+01   0.347676E+00
   0.390000E+01   0.153372E+01   0.327028E+00   0.240449E+01   0.510172E+00
   0.400000E+01   0.213481E+01   0.448757E+00   0.349066E+01   0.732897E+00
   0.410000E+01   0.291191E+01   0.602694E+00   0.497206E+01   0.103166E+01
   0.420000E+01   0.389569E+01   0.792900E+00   0.695388E+01   0.142420E+01
   0.430000E+01   0.511622E+01   0.102268E+01   0.955671E+01   0.192980E+01
   0.440000E+01   0.660143E+01   0.129433E+01   0.129155E+02   0.256874E+01
   0.450000E+01   0.837559E+01   0.160880E+01   0.171776E+02   0.336172E+01
   0.460000E+01   0.104578E+02   0.196553E+01   0.225005E+02   0.432901E+01
   0.470000E+01   0.128607E+02   0.236241E+01   0.290482E+02   0.548962E+01
   0.480000E+01   0.155899E+02   0.279583E+01   0.369880E+02   0.686081E+01
   0.490000E+01   0.186433E+02   0.326078E+01   0.464861E+02   0.845715E+01
