#    time(ps)        R(t,x=0)       J(t,x=L)
   0.126000E+02   0.356391E+04   0.639989E+03
   0.127000E+02   0.357378E+04   0.647479E+03
   0.128000E+02   0.358356E+04   0.654933E+03
   0.129000E+02   0.359323E+04   0.662351E+03
   0.130000E+02   0.360281E+04   0.669732E+03
   0.131000E+02   0.361230E+04   0.677077E+03
   0.132000E+02   0.362169E+04   0.684386E+03
   0.133000E+02   0.363098E+04   0.691657E+03
   0.134000E+02   0.364019E+04   0.698893E+03
   0.135000E+02   0.364930E+04   0.706091E+03
   0.136000E+02   0.365833E+04   0.713252E+03
   0.137000E+02   0.366727E+04   0.720377E+03
   0.138000E+02   0.367612E+04   0.727464E+03
   0.139000E+02   0.368488E+04   0.734514E+03
   0.140000E+02   0.369357E+04   0.741527E+03
   0.141000E+02   0.370216E+04   0.748502E+03
   0.142000E+02   0.371068E+04   0.755440E+03
   0.143000E+02   0.371912E+04   0.762340E+03
   0.144000E+02   0.372747E+04   0.769202E+03
   0.145000E+02   0.373575E+04   0.776027E+03
   0.146000E+02   0.374395E+04   0.782814E+03
   0.147000E+02   0.375207E+04   0.789563E+03
   0.148000E+02   0.376012E+04   0.796274E+03
   0.149000E+02   0.376809E+04   0.802947E+03
   0.150000E+02   0.377599E+04   0.809582E+03
   0.151000E+02   0.378382E+04   0.816179E+03
   0.152000E+02   0.379157E+04   0.822737E+03
   0.153000E+02   0.379926E+04   0.829258E+03
   0.154000E+02   0.380687E+04   0.835740E+03
   0.155000E+02   0.381441E+04   0.842184E+03
   0.156000E+02   0.382189E+04   0.848590E+03
   0.157000E+02   0.382930E+04   0.854958E+03
   0.158000E+02   0.383664E+04   0.861287E+03
   0.159000E+02   0.384391E+04   0.867579E+03
   0.160000E+02   0.385112E+04   0.873832E+03
   0.161000E+02   0.385827E+04   0.880048E+03
   0.162000E+02   0.386535E+04   0.886225E+03
   0.163000E+02   0.387237E+04   0.892364E+03
   0.164000E+02   0.387933E+04   0.898465E+03
   0.165000E+02   0.388622E+04   0.904529E+03
   0.166000E+02   0.389306E+04   0.910554E+03
   0.167000E+02   0.389984E+04   0.916542E+03
   0.168000E+02   0.390655E+04   0.922492E+03
   0.169000E+02   0.391321E+04   0.928405E+03
   0.170000E+02   0.391981E+04   0.934280E+03
   0.171000E+02   0.392635E+04   0.940118E+03
   0.172000E+02   0.393283E+04   0.945918E+03
   0.173000E+02   0.393926E+04   0.951681E+03
   0.174000E+02   0.394564E+04   0.957407E+03
   0.175000E+02   0.395196E+04   0.963096E+03
   0.176000E+02   0.395822E+04   0.968749E+03
   0.177000E+02   0.396443E+04   0.974364E+03
   0.178000E+02   0.397059E+04   0.979943E+03
   0.179000E+02   0.397670E+04   0.985485E+03
   0.180000E+02   0.398275E+04   0.990990E+03
   0.181000E+02   0.398875E+04   0.996460E+03
   0.182000E+02   0.399470E+04   0.100189E+04
   0.183000E+02   0.400061E+04   0.100729E+04
   0.184000E+02   0.400646E+04   0.101265E+04
   0.185000E+02   0.401226E+04   0.101798E+04
   0.186000E+02   0.401801E+04   0.102327E+04
   0.187000E+02   0.402372E+04   0.102852E+04
   0.188000E+02   0.402937E+04   0.103374E+04
   0.189000E+02   0.403499E+04   0.103892E+04
   0.190000E+02   0.404055E+04   0.104407E+04
   0.191000E+02   0.404607E+04   0.104919E+04
   0.192000E+02   0.405154E+04   0.105427E+04
   0.193000E+02   0.405696E+04   0.105931E+04
   0.194000E+02   0.406234E+04   0.106432E+04
   0.195000E+02   0.406768E+04   0.106930E+04
   0.196000E+02   0.407297E+04   0.107424E+04
   0.197000E+02   0.407822E+04   0.107915E+04
   0.198000E+02   0.408343E+04   0.108402E+04
   0.199000E+02   0.408859E+04   0.108886E+04
   0.200000E+02   0.409371E+04   0.109367E+04
   0.201000E+02   0.409879E+04   0.109844E+04
   0.202000E+02   0.410383E+04   0.110318E+04
   0.203000E+02   0.410882E+04   0.110789E+04
