#    time(ps)        R(t,x=0)       J(t,x=L)
   0.126000E+02   0.465437E+04   0.419778E+00
   0.127000E+02   0.466122E+04   0.440995E+00
   0.128000E+02   0.466800E+04   0.463018E+00
   0.129000E+02   0.467470E+04   0.485866E+00
   0.130000E+02   0.468132E+04   0.509559E+00
   0.131000E+02   0.468788E+04   0.534116E+00
   0.132000E+02   0.469436E+04   0.559557E+00
   0.133000E+02   0.470078E+04   0.585901E+00
   0.134000E+02   0.470712E+04   0.613168E+00
   0.135000E+02   0.471340E+04   0.641378E+00
   0.136000E+02   0.471962E+04   0.670551E+00
   0.137000E+02   0.472577E+04   0.700706E+00
   0.138000E+02   0.473185E+04   0.731863E+00
   0.139000E+02   0.473787E+04   0.764043E+00
   0.140000E+02   0.474384E+04   0.797265E+00
   0.141000E+02   0.474974E+04   0.831549E+00
   0.142000E+02   0.475558E+04   0.866915E+00
   0.143000E+02   0.476136E+04   0.903383E+00
   0.144000E+02   0.476709E+04   0.940974E+00
   0.145000E+02   0.477276E+04   0.979706E+00
   0.146000E+02   0.477837E+04   0.101960E+01
   0.147000E+02   0.478393E+04   0.106068E+01
   0.148000E+02   0.478944E+04   0.110295E+01
   0.149000E+02   0.479489E+04   0.114645E+01
   0.150000E+02   0.480029E+04   0.119119E+01
   0.151000E+02   0.480564E+04   0.123719E+01
   0.152000E+02   0.481094E+04   0.128447E+01
   0.153000E+02   0.481619E+04   0.133305E+01
   0.154000E+02   0.482139E+04   0.138295E+01
   0.155000E+02   0.482654E+04   0.143419E+01
   0.156000E+02   0.483164E+04   0.148678E+01
   0.157000E+02   0.483670E+04   0.154075E+01
   0.158000E+02   0.484171E+04   0.159612E+01
   0.159000E+02   0.484668E+04   0.165290E+01
   0.160000E+02   0.485160E+04   0.171111E+01
   0.161000E+02   0.485648E+04   0.177078E+01
   0.162000E+02   0.486131E+04   0.183191E+01
   0.163000E+02   0.486611E+04   0.189454E+01
   0.164000E+02   0.487086E+04   0.195867E+01
   0.165000E+02   0.487557E+04   0.202433E+01
   0.166000E+02   0.488023E+04   0.209152E+01
   0.167000E+02   0.488486E+04   0.216028E+01
   0.168000E+02   0.488945E+04   0.223062E+01
   0.169000E+02   0.489400E+04   0.230255E+01
   0.170000E+02   0.489851E+04   0.237609E+01
   0.171000E+02   0.490298E+04   0.245127E+01
   0.172000E+02   0.490742E+04   0.252808E+01
   0.173000E+02   0.491181E+04   0.260657E+01
   0.174000E+02   0.491618E+04   0.268673E+01
   0.175000E+02   0.492050E+04   0.276858E+01
   0.176000E+02   0.492479E+04   0.285215E+01
   0.177000E+02   0.492905E+04   0.293744E+01
   0.178000E+02   0.493327E+04   0.302448E+01
   0.179000E+02   0.493745E+04   0.311327E+01
   0.180000E+02   0.494161E+04   0.320384E+01
   0.181000E+02   0.494573E+04   0.329619E+01
   0.182000E+02   0.494982E+04   0.339035E+01
   0.183000E+02   0.495387E+04   0.348632E+01
   0.184000E+02   0.495789E+04   0.358413E+01
   0.185000E+02   0.496188E+04   0.368378E+01
   0.186000E+02   0.496585E+04   0.378529E+01
   0.187000E+02   0.496978E+04   0.388867E+01
   0.188000E+02   0.497368E+04   0.399394E+01
   0.189000E+02   0.497755E+04   0.410110E+01
   0.190000E+02   0.498139E+04   0.421018E+01
   0.191000E+02   0.498520E+04   0.432118E+01
   0.192000E+02   0.498898E+04   0.443412E+01
   0.193000E+02   0.499273E+04   0.454900E+01
   0.194000E+02   0.499646E+04   0.466585E+01
   0.195000E+02   0.500016E+04   0.478467E+01
   0.196000E+02   0.500383E+04   0.490547E+01
   0.197000E+02   0.500747E+04   0.502826E+01
   0.198000E+02   0.501109E+04   0.515305E+01
   0.199000E+02   0.501468E+04   0.527987E+01
   0.200000E+02   0.501825E+04   0.540870E+01
   0.201000E+02   0.502179E+04   0.553957E+01
   0.202000E+02   0.502530E+04   0.567249E+01
   0.203000E+02   0.502879E+04   0.580746E+01
   0.204000E+02   0.503225E+04   0.594449E+01
   0.205000E+02   0.503569E+04   0.608360E+01
   0.206000E+02   0.503911E+04   0.622478E+01
   0.207000E+02   0.504250E+04   0.636806E+01
   0.208000E+02   0.504587E+04   0.651343E+01
   0.209000E+02   0.504921E+04   0.666091E+01
   0.210000E+02   0.505253E+04   0.681050E+01
   0.211000E+02   0.505583E+04   0.696221E+01
   0.212000E+02   0.505911E+04   0.711604E+01
   0.213000E+02   0.506236E+04   0.727201E+01
   0.214000E+02   0.506559E+04   0.743012E+01
   0.215000E+02   0.506880E+04   0.759037E+01
   0.216000E+02   0.507199E+04   0.775278E+01
   0.217000E+02   0.507516E+04   0.791735E+01
   0.218000E+02   0.507830E+04   0.808408E+01
   0.219000E+02   0.508143E+04   0.825297E+01
   0.220000E+02   0.508453E+04   0.842404E+01
   0.221000E+02   0.508761E+04   0.859729E+01
   0.222000E+02   0.509068E+04   0.877273E+01
   0.223000E+02   0.509372E+04   0.895034E+01
   0.224000E+02   0.509674E+04   0.913015E+01
   0.225000E+02   0.509975E+04   0.931216E+01
   0.226000E+02   0.510273E+04   0.949636E+01
