#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.128535E+01   0.647966E-04
   0.100000E+00   0.597323E+01   0.645444E-04
   0.200000E+00   0.159259E+02   0.641355E-04
   0.300000E+00   0.316137E+02   0.636067E-04
   0.400000E+00   0.523463E+02   0.629944E-04
   0.500000E+00   0.770639E+02   0.623215E-04
   0.600000E+00   0.104924E+03   0.616121E-04
   0.700000E+00   0.135295E+03   0.608832E-04
   0.800000E+00   0.167745E+03   0.601570E-04
   0.900000E+00   0.201959E+03   0.594590E-04
   0.100000E+01   0.237693E+03   0.587795E-04
   0.110000E+01   0.274827E+03   0.581335E-04
   0.120000E+01   0.313310E+03   0.575200E-04
   0.130000E+01   0.353113E+03   0.569633E-04
   0.140000E+01   0.394196E+03   0.565465E-04
   0.150000E+01   0.436510E+03   0.564481E-04
   0.160000E+01   0.479877E+03   0.570720E-04
   0.170000E+01   0.524073E+03   0.594312E-04
   0.180000E+01   0.568862E+03   0.657448E-04
   0.190000E+01   0.613984E+03   0.809066E-04
   0.200000E+01   0.659098E+03   0.114481E-03
   0.210000E+01   0.703898E+03   0.186643E-03
   0.220000E+01   0.748123E+03   0.339547E-03
   0.230000E+01   0.791574E+03   0.651694E-03
   0.240000E+01   0.834105E+03   0.126535E-02
   0.250000E+01   0.875617E+03   0.245038E-02
   0.260000E+01   0.916060E+03   0.468428E-02
   0.270000E+01   0.955412E+03   0.875407E-02
   0.280000E+01   0.993695E+03   0.159756E-01
   0.290000E+01   0.103094E+04   0.284485E-01
   0.300000E+01   0.106718E+04   0.493992E-01
   0.310000E+01   0.110245E+04   0.836978E-01
   0.320000E+01   0.113680E+04   0.138358E+00
   0.330000E+01   0.117027E+04   0.223265E+00
   0.340000E+01   0.120293E+04   0.351799E+00
   0.350000E+01   0.123480E+04   0.541382E+00
   0.360000E+01   0.126594E+04   0.814086E+00
   0.370000E+01   0.129637E+04   0.119778E+01
   0.380000E+01   0.132613E+04   0.172499E+01
   0.390000E+01   0.135526E+04   0.243278E+01
   0.400000E+01   0.138381E+04   0.336227E+01
   0.410000E+01   0.141181E+04   0.455689E+01
   0.420000E+01   0.143930E+04   0.606021E+01
   0.430000E+01   0.146633E+04   0.791495E+01
   0.440000E+01   0.149294E+04   0.101599E+02
   0.450000E+01   0.151916E+04   0.128280E+02
   0.460000E+01   0.154503E+04   0.159435E+02
   0.470000E+01   0.157058E+04   0.195210E+02
   0.480000E+01   0.159585E+04   0.235646E+02
   0.490000E+01   0.162083E+04   0.280680E+02
   0.500000E+01   0.164556E+04   0.330145E+02
   0.510000E+01   0.167005E+04   0.383777E+02
   0.520000E+01   0.169430E+04   0.441198E+02
   0.530000E+01   0.171833E+04   0.502008E+02
   0.540000E+01   0.174213E+04   0.565724E+02
   0.550000E+01   0.176571E+04   0.631840E+02
   0.560000E+01   0.178907E+04   0.699835E+02
   0.570000E+01   0.181221E+04   0.769204E+02
   0.580000E+01   0.183511E+04   0.839460E+02
   0.590000E+01   0.185777E+04   0.910157E+02
   0.600000E+01   0.188018E+04   0.980883E+02
   0.610000E+01   0.190233E+04   0.105130E+03
   0.620000E+01   0.192422E+04   0.112114E+03
   0.630000E+01   0.194583E+04   0.119014E+03
   0.640000E+01   0.196716E+04   0.125814E+03
   0.650000E+01   0.198820E+04   0.132497E+03
   0.660000E+01   0.200894E+04   0.139054E+03
   0.670000E+01   0.202938E+04   0.145479E+03
   0.680000E+01   0.204952E+04   0.151771E+03
   0.690000E+01   0.206935E+04   0.157929E+03
   0.700000E+01   0.208889E+04   0.163956E+03
   0.710000E+01   0.210813E+04   0.169856E+03
   0.720000E+01   0.212708E+04   0.175635E+03
   0.730000E+01   0.214573E+04   0.181300E+03
   0.740000E+01   0.216411E+04   0.186855E+03
   0.750000E+01   0.218220E+04   0.192306E+03
   0.760000E+01   0.220003E+04   0.197662E+03
   0.770000E+01   0.221759E+04   0.202928E+03
   0.780000E+01   0.223489E+04   0.208108E+03
   0.790000E+01   0.225194E+04   0.213208E+03
   0.800000E+01   0.226874E+04   0.218235E+03
   0.810000E+01   0.228531E+04   0.223191E+03
   0.820000E+01   0.230165E+04   0.228077E+03
   0.830000E+01   0.231777E+04   0.232895E+03
   0.840000E+01   0.233367E+04   0.237647E+03
   0.850000E+01   0.234937E+04   0.242335E+03
   0.860000E+01   0.236487E+04   0.246962E+03
   0.870000E+01   0.238017E+04   0.251530E+03
   0.880000E+01   0.239529E+04   0.256044E+03
   0.890000E+01   0.241024E+04   0.260506E+03
   0.900000E+01   0.242501E+04   0.264917E+03
   0.910000E+01   0.243962E+04   0.269285E+03
   0.920000E+01   0.245407E+04   0.273614E+03
   0.930000E+01   0.246837E+04   0.277908E+03
   0.940000E+01   0.248251E+04   0.282174E+03
   0.950000E+01   0.249651E+04   0.286417E+03
   0.960000E+01   0.251037E+04   0.290641E+03
   0.970000E+01   0.252409E+04   0.294851E+03
   0.980000E+01   0.253768E+04   0.299047E+03
   0.990000E+01   0.255114E+04   0.303235E+03
   0.100000E+02   0.256448E+04   0.307417E+03
   0.101000E+02   0.257769E+04   0.311594E+03
   0.102000E+02   0.259078E+04   0.315766E+03
   0.103000E+02   0.260375E+04   0.319933E+03
   0.104000E+02   0.261660E+04   0.324095E+03
   0.105000E+02   0.262935E+04   0.328250E+03
   0.106000E+02   0.264198E+04   0.332398E+03
   0.107000E+02   0.265450E+04   0.336535E+03
   0.108000E+02   0.266692E+04   0.340660E+03
   0.109000E+02   0.267924E+04   0.344768E+03
   0.110000E+02   0.269145E+04   0.348859E+03
   0.111000E+02   0.270356E+04   0.352929E+03
   0.112000E+02   0.271557E+04   0.356976E+03
   0.113000E+02   0.272748E+04   0.360997E+03
   0.114000E+02   0.273930E+04   0.364991E+03
   0.115000E+02   0.275103E+04   0.368956E+03
   0.116000E+02   0.276267E+04   0.372891E+03
   0.117000E+02   0.277421E+04   0.376795E+03
   0.118000E+02   0.278567E+04   0.380668E+03
   0.119000E+02   0.279705E+04   0.384508E+03
   0.120000E+02   0.280833E+04   0.388317E+03
   0.121000E+02   0.281954E+04   0.392097E+03
   0.122000E+02   0.283066E+04   0.395848E+03
   0.123000E+02   0.284170E+04   0.399569E+03
   0.124000E+02   0.285267E+04   0.403264E+03
   0.125000E+02   0.286355E+04   0.406932E+03
   0.126000E+02   0.287436E+04   0.410575E+03
   0.127000E+02   0.288509E+04   0.414194E+03
   0.128000E+02   0.289575E+04   0.417790E+03
   0.129000E+02   0.290633E+04   0.421364E+03
   0.130000E+02   0.291685E+04   0.424919E+03
   0.131000E+02   0.292729E+04   0.428453E+03
   0.132000E+02   0.293765E+04   0.431971E+03
   0.133000E+02   0.294795E+04   0.435472E+03
   0.134000E+02   0.295818E+04   0.438959E+03
   0.135000E+02   0.296834E+04   0.442433E+03
   0.136000E+02   0.297844E+04   0.445893E+03
   0.137000E+02   0.298846E+04   0.449341E+03
   0.138000E+02   0.299843E+04   0.452776E+03
   0.139000E+02   0.300832E+04   0.456200E+03
   0.140000E+02   0.301815E+04   0.459613E+03
   0.141000E+02   0.302791E+04   0.463015E+03
   0.142000E+02   0.303761E+04   0.466407E+03
   0.143000E+02   0.304725E+04   0.469788E+03
   0.144000E+02   0.305682E+04   0.473159E+03
