#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.207732E+01   0.647235E-04
   0.100000E+00   0.915394E+01   0.643392E-04
   0.200000E+00   0.229953E+02   0.637762E-04
   0.300000E+00   0.434014E+02   0.630852E-04
   0.400000E+00   0.690764E+02   0.623052E-04
   0.500000E+00   0.986689E+02   0.614669E-04
   0.600000E+00   0.131204E+03   0.605972E-04
   0.700000E+00   0.166057E+03   0.597193E-04
   0.800000E+00   0.202816E+03   0.588522E-04
   0.900000E+00   0.241207E+03   0.580089E-04
   0.100000E+01   0.281063E+03   0.571943E-04
   0.110000E+01   0.322311E+03   0.564117E-04
   0.120000E+01   0.364938E+03   0.556589E-04
   0.130000E+01   0.408944E+03   0.549363E-04
   0.140000E+01   0.454297E+03   0.542483E-04
   0.150000E+01   0.500893E+03   0.536082E-04
   0.160000E+01   0.548545E+03   0.530704E-04
   0.170000E+01   0.596993E+03   0.527974E-04
   0.180000E+01   0.645916E+03   0.532155E-04
   0.190000E+01   0.694971E+03   0.554157E-04
   0.200000E+01   0.743820E+03   0.620540E-04
   0.210000E+01   0.792157E+03   0.792101E-04
   0.220000E+01   0.839728E+03   0.120173E-03
   0.230000E+01   0.886338E+03   0.212688E-03
   0.240000E+01   0.931849E+03   0.412190E-03
   0.250000E+01   0.976179E+03   0.824663E-03
   0.260000E+01   0.101929E+04   0.164488E-02
   0.270000E+01   0.106119E+04   0.321645E-02
   0.280000E+01   0.110190E+04   0.612271E-02
   0.290000E+01   0.114146E+04   0.113165E-01
   0.300000E+01   0.117993E+04   0.202993E-01
   0.310000E+01   0.121737E+04   0.353507E-01
   0.320000E+01   0.125383E+04   0.598122E-01
   0.330000E+01   0.128937E+04   0.984141E-01
   0.340000E+01   0.132404E+04   0.157629E+00
   0.350000E+01   0.135788E+04   0.246003E+00
   0.360000E+01   0.139095E+04   0.374455E+00
   0.370000E+01   0.142327E+04   0.556456E+00
   0.380000E+01   0.145488E+04   0.808061E+00
   0.390000E+01   0.148583E+04   0.114774E+01
   0.400000E+01   0.151614E+04   0.159597E+01
   0.410000E+01   0.154585E+04   0.217461E+01
   0.420000E+01   0.157499E+04   0.290601E+01
   0.430000E+01   0.160361E+04   0.381198E+01
   0.440000E+01   0.163174E+04   0.491269E+01
   0.450000E+01   0.165942E+04   0.622547E+01
   0.460000E+01   0.168668E+04   0.776387E+01
   0.470000E+01   0.171356E+04   0.953688E+01
   0.480000E+01   0.174009E+04   0.115484E+02
   0.490000E+01   0.176628E+04   0.137969E+02
   0.500000E+01   0.179218E+04   0.162758E+02
   0.510000E+01   0.181778E+04   0.189736E+02
   0.520000E+01   0.184311E+04   0.218747E+02
   0.530000E+01   0.186817E+04   0.249604E+02
   0.540000E+01   0.189296E+04   0.282095E+02
   0.550000E+01   0.191750E+04   0.315998E+02
   0.560000E+01   0.194176E+04   0.351084E+02
   0.570000E+01   0.196576E+04   0.387130E+02
   0.580000E+01   0.198948E+04   0.423927E+02
   0.590000E+01   0.201291E+04   0.461283E+02
   0.600000E+01   0.203606E+04   0.499027E+02
   0.610000E+01   0.205890E+04   0.537009E+02
   0.620000E+01   0.208144E+04   0.575103E+02
   0.630000E+01   0.210367E+04   0.613205E+02
   0.640000E+01   0.212558E+04   0.651233E+02
   0.650000E+01   0.214716E+04   0.689120E+02
   0.660000E+01   0.216842E+04   0.726819E+02
   0.670000E+01   0.218936E+04   0.764297E+02
   0.680000E+01   0.220997E+04   0.801534E+02
   0.690000E+01   0.223025E+04   0.838521E+02
   0.700000E+01   0.225021E+04   0.875258E+02
   0.710000E+01   0.226985E+04   0.911751E+02
   0.720000E+01   0.228917E+04   0.948010E+02
   0.730000E+01   0.230818E+04   0.984051E+02
   0.740000E+01   0.232689E+04   0.101989E+03
   0.750000E+01   0.234530E+04   0.105554E+03
   0.760000E+01   0.236342E+04   0.109101E+03
   0.770000E+01   0.238126E+04   0.112632E+03
   0.780000E+01   0.239882E+04   0.116148E+03
   0.790000E+01   0.241612E+04   0.119648E+03
   0.800000E+01   0.243315E+04   0.123135E+03
   0.810000E+01   0.244994E+04   0.126606E+03
   0.820000E+01   0.246649E+04   0.130063E+03
   0.830000E+01   0.248281E+04   0.133504E+03
   0.840000E+01   0.249891E+04   0.136930E+03
   0.850000E+01   0.251479E+04   0.140341E+03
   0.860000E+01   0.253047E+04   0.143736E+03
   0.870000E+01   0.254595E+04   0.147116E+03
