#    time(ps)        R(t,x=0)       J(t,x=L)
   0.126000E+02   0.293497E+04   0.329543E+03
   0.127000E+02   0.294595E+04   0.334080E+03
   0.128000E+02   0.295684E+04   0.338622E+03
   0.129000E+02   0.296763E+04   0.343167E+03
   0.130000E+02   0.297832E+04   0.347717E+03
   0.131000E+02   0.298892E+04   0.352270E+03
   0.132000E+02   0.299942E+04   0.356827E+03
   0.133000E+02   0.300983E+04   0.361386E+03
   0.134000E+02   0.302015E+04   0.365949E+03
   0.135000E+02   0.303038E+04   0.370514E+03
   0.136000E+02   0.304053E+04   0.375082E+03
   0.137000E+02   0.305058E+04   0.379652E+03
   0.138000E+02   0.306055E+04   0.384224E+03
   0.139000E+02   0.307043E+04   0.388797E+03
   0.140000E+02   0.308023E+04   0.393372E+03
   0.141000E+02   0.308995E+04   0.397947E+03
   0.142000E+02   0.309958E+04   0.402524E+03
   0.143000E+02   0.310913E+04   0.407101E+03
   0.144000E+02   0.311861E+04   0.411679E+03
   0.145000E+02   0.312801E+04   0.416256E+03
   0.146000E+02   0.313732E+04   0.420834E+03
   0.147000E+02   0.314657E+04   0.425410E+03
   0.148000E+02   0.315573E+04   0.429987E+03
   0.149000E+02   0.316483E+04   0.434562E+03
   0.150000E+02   0.317384E+04   0.439136E+03
   0.151000E+02   0.318279E+04   0.443709E+03
   0.152000E+02   0.319167E+04   0.448280E+03
   0.153000E+02   0.320047E+04   0.452849E+03
   0.154000E+02   0.320920E+04   0.457416E+03
   0.155000E+02   0.321787E+04   0.461980E+03
   0.156000E+02   0.322647E+04   0.466542E+03
   0.157000E+02   0.323500E+04   0.471101E+03
   0.158000E+02   0.324346E+04   0.475657E+03
   0.159000E+02   0.325186E+04   0.480210E+03
   0.160000E+02   0.326019E+04   0.484759E+03
   0.161000E+02   0.326846E+04   0.489305E+03
   0.162000E+02   0.327667E+04   0.493846E+03
   0.163000E+02   0.328481E+04   0.498384E+03
   0.164000E+02   0.329289E+04   0.502917E+03
   0.165000E+02   0.330091E+04   0.507446E+03
   0.166000E+02   0.330888E+04   0.511970E+03
   0.167000E+02   0.331678E+04   0.516489E+03
   0.168000E+02   0.332462E+04   0.521003E+03
   0.169000E+02   0.333240E+04   0.525512E+03
   0.170000E+02   0.334013E+04   0.530015E+03
   0.171000E+02   0.334780E+04   0.534513E+03
   0.172000E+02   0.335541E+04   0.539005E+03
   0.173000E+02   0.336297E+04   0.543491E+03
   0.174000E+02   0.337047E+04   0.547971E+03
   0.175000E+02   0.337792E+04   0.552444E+03
   0.176000E+02   0.338532E+04   0.556911E+03
   0.177000E+02   0.339266E+04   0.561371E+03
   0.178000E+02   0.339995E+04   0.565825E+03
   0.179000E+02   0.340719E+04   0.570271E+03
   0.180000E+02   0.341437E+04   0.574711E+03
   0.181000E+02   0.342151E+04   0.579143E+03
   0.182000E+02   0.342859E+04   0.583568E+03
   0.183000E+02   0.343563E+04   0.587985E+03
   0.184000E+02   0.344261E+04   0.592395E+03
   0.185000E+02   0.344955E+04   0.596797E+03
   0.186000E+02   0.345644E+04   0.601190E+03
   0.187000E+02   0.346328E+04   0.605576E+03
   0.188000E+02   0.347008E+04   0.609954E+03
   0.189000E+02   0.347683E+04   0.614323E+03
   0.190000E+02   0.348353E+04   0.618683E+03
   0.191000E+02   0.349018E+04   0.623035E+03
   0.192000E+02   0.349680E+04   0.627379E+03
   0.193000E+02   0.350336E+04   0.631713E+03
   0.194000E+02   0.350988E+04   0.636039E+03
   0.195000E+02   0.351636E+04   0.640355E+03
   0.196000E+02   0.352280E+04   0.644663E+03
   0.197000E+02   0.352919E+04   0.648961E+03
   0.198000E+02   0.353554E+04   0.653250E+03
   0.199000E+02   0.354185E+04   0.657529E+03
   0.200000E+02   0.354811E+04   0.661799E+03
   0.201000E+02   0.355434E+04   0.666059E+03
   0.202000E+02   0.356052E+04   0.670309E+03
   0.203000E+02   0.356667E+04   0.674549E+03
   0.204000E+02   0.357277E+04   0.678780E+03
   0.205000E+02   0.357884E+04   0.683000E+03
   0.206000E+02   0.358486E+04   0.687210E+03
   0.207000E+02   0.359085E+04   0.691410E+03
   0.208000E+02   0.359679E+04   0.695600E+03
   0.209000E+02   0.360270E+04   0.699780E+03
   0.210000E+02   0.360858E+04   0.703949E+03
   0.211000E+02   0.361441E+04   0.708107E+03
   0.212000E+02   0.362021E+04   0.712255E+03
   0.213000E+02   0.362597E+04   0.716392E+03
   0.214000E+02   0.363169E+04   0.720518E+03
   0.215000E+02   0.363738E+04   0.724634E+03
   0.216000E+02   0.364303E+04   0.728739E+03
   0.217000E+02   0.364865E+04   0.732833E+03
   0.218000E+02   0.365423E+04   0.736915E+03
   0.219000E+02   0.365978E+04   0.740987E+03
   0.220000E+02   0.366529E+04   0.745048E+03
   0.221000E+02   0.367077E+04   0.749097E+03
   0.222000E+02   0.367622E+04   0.753135E+03
   0.223000E+02   0.368163E+04   0.757162E+03
   0.224000E+02   0.368701E+04   0.761178E+03
   0.225000E+02   0.369235E+04   0.765182E+03
   0.226000E+02   0.369767E+04   0.769175E+03
   0.227000E+02   0.370295E+04   0.773156E+03
   0.228000E+02   0.370820E+04   0.777126E+03
   0.229000E+02   0.371341E+04   0.781084E+03
   0.230000E+02   0.371860E+04   0.785030E+03
   0.231000E+02   0.372375E+04   0.788965E+03
   0.232000E+02   0.372888E+04   0.792888E+03
   0.233000E+02   0.373397E+04   0.796800E+03
   0.234000E+02   0.373903E+04   0.800700E+03
   0.235000E+02   0.374407E+04   0.804587E+03
   0.236000E+02   0.374907E+04   0.808463E+03
   0.237000E+02   0.375404E+04   0.812328E+03
   0.238000E+02   0.375898E+04   0.816180E+03
   0.239000E+02   0.376390E+04   0.820020E+03
   0.240000E+02   0.376878E+04   0.823848E+03
   0.241000E+02   0.377364E+04   0.827665E+03
   0.242000E+02   0.377847E+04   0.831469E+03
   0.243000E+02   0.378327E+04   0.835261E+03
   0.244000E+02   0.378804E+04   0.839041E+03
   0.245000E+02   0.379279E+04   0.842810E+03
   0.246000E+02   0.379751E+04   0.846566E+03
   0.247000E+02   0.380220E+04   0.850309E+03
   0.248000E+02   0.380686E+04   0.854041E+03
   0.249000E+02   0.381149E+04   0.857761E+03
   0.250000E+02   0.381610E+04   0.861468E+03
   0.251000E+02   0.382069E+04   0.865163E+03
   0.252000E+02   0.382524E+04   0.868846E+03
   0.253000E+02   0.382978E+04   0.872517E+03
   0.254000E+02   0.383428E+04   0.876175E+03
   0.255000E+02   0.383876E+04   0.879822E+03
   0.256000E+02   0.384321E+04   0.883456E+03
   0.257000E+02   0.384764E+04   0.887077E+03
   0.258000E+02   0.385205E+04   0.890687E+03
   0.259000E+02   0.385643E+04   0.894284E+03
   0.260000E+02   0.386078E+04   0.897869E+03
   0.261000E+02   0.386511E+04   0.901441E+03
   0.262000E+02   0.386942E+04   0.905002E+03
   0.263000E+02   0.387370E+04   0.908550E+03
   0.264000E+02   0.387796E+04   0.912085E+03
   0.265000E+02   0.388219E+04   0.915609E+03
   0.266000E+02   0.388640E+04   0.919120E+03
   0.267000E+02   0.389059E+04   0.922618E+03
   0.268000E+02   0.389476E+04   0.926105E+03
   0.269000E+02   0.389890E+04   0.929579E+03
   0.270000E+02   0.390302E+04   0.933041E+03
   0.271000E+02   0.390711E+04   0.936490E+03
   0.272000E+02   0.391119E+04   0.939927E+03
   0.273000E+02   0.391524E+04   0.943352E+03
   0.274000E+02   0.391927E+04   0.946765E+03
   0.275000E+02   0.392328E+04   0.950165E+03
   0.276000E+02   0.392726E+04   0.953553E+03
   0.277000E+02   0.393122E+04   0.956929E+03
   0.278000E+02   0.393517E+04   0.960293E+03
   0.279000E+02   0.393909E+04   0.963644E+03
   0.280000E+02   0.394299E+04   0.966983E+03
   0.281000E+02   0.394687E+04   0.970310E+03
   0.282000E+02   0.395072E+04   0.973624E+03
   0.283000E+02   0.395456E+04   0.976927E+03
   0.284000E+02   0.395838E+04   0.980217E+03
   0.285000E+02   0.396217E+04   0.983495E+03
   0.286000E+02   0.396595E+04   0.986761E+03
   0.287000E+02   0.396971E+04   0.990014E+03
   0.288000E+02   0.397344E+04   0.993256E+03
   0.289000E+02   0.397716E+04   0.996485E+03
   0.290000E+02   0.398085E+04   0.999702E+03
   0.291000E+02   0.398453E+04   0.100291E+04
   0.292000E+02   0.398819E+04   0.100610E+04
   0.293000E+02   0.399182E+04   0.100928E+04
   0.294000E+02   0.399544E+04   0.101245E+04
   0.295000E+02   0.399904E+04   0.101561E+04
   0.296000E+02   0.400262E+04   0.101875E+04
   0.297000E+02   0.400618E+04   0.102189E+04
   0.298000E+02   0.400972E+04   0.102501E+04
   0.299000E+02   0.401325E+04   0.102812E+04
   0.300000E+02   0.401675E+04   0.103121E+04
   0.301000E+02   0.402024E+04   0.103430E+04
   0.302000E+02   0.402371E+04   0.103737E+04
   0.303000E+02   0.402716E+04   0.104043E+04
   0.304000E+02   0.403059E+04   0.104348E+04
   0.305000E+02   0.403401E+04   0.104652E+04
   0.306000E+02   0.403740E+04   0.104954E+04
   0.307000E+02   0.404078E+04   0.105256E+04
   0.308000E+02   0.404415E+04   0.105556E+04
   0.309000E+02   0.404749E+04   0.105855E+04
   0.310000E+02   0.405082E+04   0.106153E+04
   0.311000E+02   0.405413E+04   0.106450E+04
   0.312000E+02   0.405742E+04   0.106745E+04
   0.313000E+02   0.406070E+04   0.107040E+04
   0.314000E+02   0.406396E+04   0.107333E+04
   0.315000E+02   0.406720E+04   0.107625E+04
   0.316000E+02   0.407043E+04   0.107916E+04
   0.317000E+02   0.407364E+04   0.108206E+04
   0.318000E+02   0.407683E+04   0.108494E+04
   0.319000E+02   0.408001E+04   0.108782E+04
   0.320000E+02   0.408317E+04   0.109068E+04
   0.321000E+02   0.408631E+04   0.109353E+04
   0.322000E+02   0.408944E+04   0.109637E+04
   0.323000E+02   0.409255E+04   0.109920E+04
   0.324000E+02   0.409565E+04   0.110202E+04
   0.325000E+02   0.409873E+04   0.110482E+04
   0.326000E+02   0.410180E+04   0.110762E+04
   0.327000E+02   0.410485E+04   0.111040E+04
   0.328000E+02   0.410788E+04   0.111318E+04
   0.329000E+02   0.411090E+04   0.111594E+04
   0.330000E+02   0.411390E+04   0.111869E+04
   0.331000E+02   0.411689E+04   0.112143E+04
   0.332000E+02   0.411987E+04   0.112415E+04
   0.333000E+02   0.412282E+04   0.112687E+04
   0.334000E+02   0.412577E+04   0.112958E+04
   0.335000E+02   0.412870E+04   0.113227E+04
   0.336000E+02   0.413161E+04   0.113495E+04
   0.337000E+02   0.413451E+04   0.113763E+04
   0.338000E+02   0.413740E+04   0.114029E+04
   0.339000E+02   0.414027E+04   0.114294E+04
   0.340000E+02   0.414313E+04   0.114558E+04
   0.341000E+02   0.414597E+04   0.114821E+04
   0.342000E+02   0.414880E+04   0.115083E+04
   0.343000E+02   0.415161E+04   0.115343E+04
   0.344000E+02   0.415441E+04   0.115603E+04
   0.345000E+02   0.415720E+04   0.115862E+04
   0.346000E+02   0.415997E+04   0.116119E+04
   0.347000E+02   0.416273E+04   0.116375E+04
   0.348000E+02   0.416547E+04   0.116631E+04
   0.349000E+02   0.416820E+04   0.116885E+04
   0.350000E+02   0.417092E+04   0.117139E+04
   0.351000E+02   0.417363E+04   0.117391E+04
   0.352000E+02   0.417632E+04   0.117642E+04
   0.353000E+02   0.417899E+04   0.117892E+04
   0.354000E+02   0.418166E+04   0.118141E+04
   0.355000E+02   0.418431E+04   0.118389E+04
   0.356000E+02   0.418695E+04   0.118636E+04
   0.357000E+02   0.418957E+04   0.118882E+04
   0.358000E+02   0.419219E+04   0.119127E+04
   0.359000E+02   0.419479E+04   0.119371E+04
   0.360000E+02   0.419737E+04   0.119614E+04
   0.361000E+02   0.419995E+04   0.119856E+04
   0.362000E+02   0.420251E+04   0.120097E+04
   0.363000E+02   0.420506E+04   0.120336E+04
   0.364000E+02   0.420759E+04   0.120575E+04
   0.365000E+02   0.421012E+04   0.120813E+04
   0.366000E+02   0.421263E+04   0.121050E+04
   0.367000E+02   0.421513E+04   0.121286E+04
   0.368000E+02   0.421762E+04   0.121521E+04
   0.369000E+02   0.422009E+04   0.121754E+04
   0.370000E+02   0.422256E+04   0.121987E+04
   0.371000E+02   0.422501E+04   0.122219E+04
   0.372000E+02   0.422745E+04   0.122450E+04
   0.373000E+02   0.422987E+04   0.122680E+04
   0.374000E+02   0.423229E+04   0.122909E+04
   0.375000E+02   0.423469E+04   0.123137E+04
   0.376000E+02   0.423709E+04   0.123364E+04
   0.377000E+02   0.423947E+04   0.123590E+04
   0.378000E+02   0.424184E+04   0.123815E+04
   0.379000E+02   0.424419E+04   0.124039E+04
   0.380000E+02   0.424654E+04   0.124262E+04
   0.381000E+02   0.424887E+04   0.124484E+04
   0.382000E+02   0.425120E+04   0.124705E+04
   0.383000E+02   0.425351E+04   0.124926E+04
   0.384000E+02   0.425581E+04   0.125145E+04
   0.385000E+02   0.425810E+04   0.125363E+04
   0.386000E+02   0.426038E+04   0.125581E+04
   0.387000E+02   0.426265E+04   0.125797E+04
   0.388000E+02   0.426491E+04   0.126013E+04
   0.389000E+02   0.426715E+04   0.126228E+04
   0.390000E+02   0.426939E+04   0.126441E+04
   0.391000E+02   0.427161E+04   0.126654E+04
   0.392000E+02   0.427383E+04   0.126866E+04
   0.393000E+02   0.427603E+04   0.127077E+04
   0.394000E+02   0.427822E+04   0.127287E+04
   0.395000E+02   0.428041E+04   0.127496E+04
   0.396000E+02   0.428258E+04   0.127705E+04
   0.397000E+02   0.428474E+04   0.127912E+04
   0.398000E+02   0.428689E+04   0.128118E+04
   0.399000E+02   0.428903E+04   0.128324E+04
   0.400000E+02   0.429116E+04   0.128529E+04
   0.401000E+02   0.429328E+04   0.128733E+04
   0.402000E+02   0.429539E+04   0.128935E+04
   0.403000E+02   0.429749E+04   0.129138E+04
   0.404000E+02   0.429958E+04   0.129339E+04
   0.405000E+02   0.430166E+04   0.129539E+04
   0.406000E+02   0.430374E+04   0.129738E+04
   0.407000E+02   0.430580E+04   0.129937E+04
   0.408000E+02   0.430785E+04   0.130135E+04
   0.409000E+02   0.430989E+04   0.130331E+04
   0.410000E+02   0.431192E+04   0.130527E+04
   0.411000E+02   0.431394E+04   0.130723E+04
   0.412000E+02   0.431595E+04   0.130917E+04
   0.413000E+02   0.431796E+04   0.131110E+04
   0.414000E+02   0.431995E+04   0.131303E+04
   0.415000E+02   0.432193E+04   0.131495E+04
   0.416000E+02   0.432391E+04   0.131686E+04
   0.417000E+02   0.432587E+04   0.131876E+04
   0.418000E+02   0.432783E+04   0.132065E+04
   0.419000E+02   0.432977E+04   0.132253E+04
   0.420000E+02   0.433171E+04   0.132441E+04
   0.421000E+02   0.433364E+04   0.132628E+04
   0.422000E+02   0.433556E+04   0.132814E+04
   0.423000E+02   0.433747E+04   0.132999E+04
   0.424000E+02   0.433937E+04   0.133183E+04
   0.425000E+02   0.434126E+04   0.133367E+04
   0.426000E+02   0.434314E+04   0.133549E+04
   0.427000E+02   0.434501E+04   0.133731E+04
   0.428000E+02   0.434688E+04   0.133912E+04
   0.429000E+02   0.434873E+04   0.134093E+04
   0.430000E+02   0.435058E+04   0.134272E+04
   0.431000E+02   0.435242E+04   0.134451E+04
   0.432000E+02   0.435425E+04   0.134629E+04
   0.433000E+02   0.435607E+04   0.134806E+04
   0.434000E+02   0.435788E+04   0.134982E+04
   0.435000E+02   0.435969E+04   0.135158E+04
   0.436000E+02   0.436148E+04   0.135333E+04
   0.437000E+02   0.436327E+04   0.135507E+04
   0.438000E+02   0.436505E+04   0.135680E+04
   0.439000E+02   0.436682E+04   0.135853E+04
   0.440000E+02   0.436858E+04   0.136024E+04
   0.441000E+02   0.437034E+04   0.136195E+04
   0.442000E+02   0.437208E+04   0.136366E+04
   0.443000E+02   0.437382E+04   0.136535E+04
   0.444000E+02   0.437555E+04   0.136704E+04
   0.445000E+02   0.437727E+04   0.136872E+04
   0.446000E+02   0.437898E+04   0.137039E+04
   0.447000E+02   0.438069E+04   0.137206E+04
   0.448000E+02   0.438239E+04   0.137372E+04
   0.449000E+02   0.438408E+04   0.137537E+04
   0.450000E+02   0.438576E+04   0.137701E+04
   0.451000E+02   0.438743E+04   0.137865E+04
   0.452000E+02   0.438910E+04   0.138027E+04
   0.453000E+02   0.439075E+04   0.138190E+04
   0.454000E+02   0.439240E+04   0.138351E+04
   0.455000E+02   0.439405E+04   0.138512E+04
   0.456000E+02   0.439568E+04   0.138672E+04
   0.457000E+02   0.439731E+04   0.138831E+04
   0.458000E+02   0.439893E+04   0.138990E+04
   0.459000E+02   0.440054E+04   0.139148E+04
   0.460000E+02   0.440214E+04   0.139305E+04
