#    time(ps)        R(t,x=0)       J(t,x=L)
   0.126000E+02   0.273011E+04   0.543356E+03
   0.127000E+02   0.274085E+04   0.547511E+03
   0.128000E+02   0.275152E+04   0.551635E+03
   0.129000E+02   0.276212E+04   0.555732E+03
   0.130000E+02   0.277266E+04   0.559802E+03
   0.131000E+02   0.278312E+04   0.563848E+03
   0.132000E+02   0.279352E+04   0.567870E+03
   0.133000E+02   0.280385E+04   0.571871E+03
   0.134000E+02   0.281411E+04   0.575850E+03
   0.135000E+02   0.282430E+04   0.579810E+03
   0.136000E+02   0.283443E+04   0.583752E+03
   0.137000E+02   0.284449E+04   0.587678E+03
   0.138000E+02   0.285449E+04   0.591586E+03
   0.139000E+02   0.286442E+04   0.595480E+03
   0.140000E+02   0.287429E+04   0.599359E+03
   0.141000E+02   0.288409E+04   0.603224E+03
   0.142000E+02   0.289383E+04   0.607074E+03
   0.143000E+02   0.290350E+04   0.610911E+03
   0.144000E+02   0.291311E+04   0.614737E+03
   0.145000E+02   0.292265E+04   0.618550E+03
   0.146000E+02   0.293214E+04   0.622352E+03
   0.147000E+02   0.294156E+04   0.626141E+03
   0.148000E+02   0.295092E+04   0.629920E+03
   0.149000E+02   0.296022E+04   0.633689E+03
   0.150000E+02   0.296946E+04   0.637447E+03
   0.151000E+02   0.297864E+04   0.641192E+03
   0.152000E+02   0.298776E+04   0.644927E+03
   0.153000E+02   0.299682E+04   0.648650E+03
   0.154000E+02   0.300582E+04   0.652361E+03
   0.155000E+02   0.301477E+04   0.656062E+03
   0.156000E+02   0.302366E+04   0.659751E+03
   0.157000E+02   0.303249E+04   0.663430E+03
   0.158000E+02   0.304126E+04   0.667098E+03
   0.159000E+02   0.304998E+04   0.670756E+03
   0.160000E+02   0.305864E+04   0.674403E+03
   0.161000E+02   0.306725E+04   0.678040E+03
   0.162000E+02   0.307581E+04   0.681667E+03
   0.163000E+02   0.308431E+04   0.685283E+03
   0.164000E+02   0.309275E+04   0.688889E+03
   0.165000E+02   0.310115E+04   0.692484E+03
   0.166000E+02   0.310949E+04   0.696069E+03
   0.167000E+02   0.311778E+04   0.699644E+03
   0.168000E+02   0.312602E+04   0.703208E+03
   0.169000E+02   0.313421E+04   0.706761E+03
   0.170000E+02   0.314234E+04   0.710304E+03
   0.171000E+02   0.315043E+04   0.713835E+03
   0.172000E+02   0.315846E+04   0.717356E+03
   0.173000E+02   0.316645E+04   0.720866E+03
   0.174000E+02   0.317438E+04   0.724365E+03
   0.175000E+02   0.318227E+04   0.727855E+03
   0.176000E+02   0.319011E+04   0.731335E+03
   0.177000E+02   0.319790E+04   0.734804E+03
   0.178000E+02   0.320565E+04   0.738263E+03
   0.179000E+02   0.321334E+04   0.741713E+03
   0.180000E+02   0.322099E+04   0.745152E+03
   0.181000E+02   0.322860E+04   0.748582E+03
   0.182000E+02   0.323616E+04   0.752001E+03
   0.183000E+02   0.324367E+04   0.755411E+03
   0.184000E+02   0.325114E+04   0.758811E+03
   0.185000E+02   0.325856E+04   0.762201E+03
   0.186000E+02   0.326594E+04   0.765581E+03
   0.187000E+02   0.327328E+04   0.768951E+03
   0.188000E+02   0.328057E+04   0.772311E+03
   0.189000E+02   0.328783E+04   0.775660E+03
   0.190000E+02   0.329503E+04   0.779001E+03
   0.191000E+02   0.330220E+04   0.782332E+03
   0.192000E+02   0.330933E+04   0.785654E+03
   0.193000E+02   0.331641E+04   0.788967E+03
   0.194000E+02   0.332345E+04   0.792271E+03
   0.195000E+02   0.333046E+04   0.795566E+03
   0.196000E+02   0.333742E+04   0.798853E+03
   0.197000E+02   0.334434E+04   0.802132E+03
   0.198000E+02   0.335122E+04   0.805403E+03
