#    time(ps)        R(t,x=0)       J(t,x=L)
   0.126000E+02   0.308252E+04   0.258517E+03
   0.127000E+02   0.309331E+04   0.262402E+03
   0.128000E+02   0.310400E+04   0.266296E+03
   0.129000E+02   0.311459E+04   0.270199E+03
   0.130000E+02   0.312509E+04   0.274110E+03
   0.131000E+02   0.313549E+04   0.278030E+03
   0.132000E+02   0.314579E+04   0.281957E+03
   0.133000E+02   0.315601E+04   0.285892E+03
   0.134000E+02   0.316613E+04   0.289835E+03
   0.135000E+02   0.317616E+04   0.293784E+03
   0.136000E+02   0.318610E+04   0.297740E+03
   0.137000E+02   0.319595E+04   0.301703E+03
   0.138000E+02   0.320572E+04   0.305671E+03
   0.139000E+02   0.321540E+04   0.309646E+03
   0.140000E+02   0.322500E+04   0.313625E+03
   0.141000E+02   0.323452E+04   0.317611E+03
   0.142000E+02   0.324395E+04   0.321601E+03
   0.143000E+02   0.325330E+04   0.325596E+03
   0.144000E+02   0.326258E+04   0.329595E+03
   0.145000E+02   0.327177E+04   0.333598E+03
   0.146000E+02   0.328089E+04   0.337606E+03
   0.147000E+02   0.328993E+04   0.341617E+03
   0.148000E+02   0.329890E+04   0.345631E+03
   0.149000E+02   0.330779E+04   0.349649E+03
   0.150000E+02   0.331661E+04   0.353669E+03
   0.151000E+02   0.332535E+04   0.357692E+03
   0.152000E+02   0.333403E+04   0.361717E+03
   0.153000E+02   0.334263E+04   0.365744E+03
   0.154000E+02   0.335116E+04   0.369773E+03
   0.155000E+02   0.335963E+04   0.373804E+03
   0.156000E+02   0.336803E+04   0.377835E+03
   0.157000E+02   0.337636E+04   0.381868E+03
   0.158000E+02   0.338463E+04   0.385902E+03
   0.159000E+02   0.339283E+04   0.389937E+03
   0.160000E+02   0.340096E+04   0.393972E+03
   0.161000E+02   0.340903E+04   0.398007E+03
   0.162000E+02   0.341704E+04   0.402042E+03
   0.163000E+02   0.342499E+04   0.406076E+03
   0.164000E+02   0.343288E+04   0.410111E+03
   0.165000E+02   0.344070E+04   0.414144E+03
   0.166000E+02   0.344847E+04   0.418176E+03
   0.167000E+02   0.345617E+04   0.422208E+03
   0.168000E+02   0.346382E+04   0.426238E+03
   0.169000E+02   0.347141E+04   0.430266E+03
   0.170000E+02   0.347895E+04   0.434293E+03
   0.171000E+02   0.348643E+04   0.438318E+03
   0.172000E+02   0.349385E+04   0.442341E+03
   0.173000E+02   0.350122E+04   0.446361E+03
   0.174000E+02   0.350853E+04   0.450379E+03
   0.175000E+02   0.351579E+04   0.454394E+03
   0.176000E+02   0.352299E+04   0.458407E+03
   0.177000E+02   0.353015E+04   0.462416E+03
   0.178000E+02   0.353725E+04   0.466422E+03
   0.179000E+02   0.354430E+04   0.470425E+03
   0.180000E+02   0.355130E+04   0.474424E+03
   0.181000E+02   0.355825E+04   0.478419E+03
   0.182000E+02   0.356515E+04   0.482411E+03
   0.183000E+02   0.357200E+04   0.486398E+03
   0.184000E+02   0.357881E+04   0.490381E+03
   0.185000E+02   0.358556E+04   0.494360E+03
   0.186000E+02   0.359227E+04   0.498334E+03
   0.187000E+02   0.359893E+04   0.502304E+03
   0.188000E+02   0.360555E+04   0.506269E+03
   0.189000E+02   0.361212E+04   0.510228E+03
   0.190000E+02   0.361864E+04   0.514183E+03
   0.191000E+02   0.362512E+04   0.518132E+03
   0.192000E+02   0.363155E+04   0.522076E+03
   0.193000E+02   0.363794E+04   0.526015E+03
   0.194000E+02   0.364429E+04   0.529948E+03
   0.195000E+02   0.365059E+04   0.533875E+03
   0.196000E+02   0.365686E+04   0.537796E+03
   0.197000E+02   0.366308E+04   0.541711E+03
   0.198000E+02   0.366925E+04   0.545620E+03
   0.199000E+02   0.367539E+04   0.549522E+03
   0.200000E+02   0.368149E+04   0.553419E+03
   0.201000E+02   0.368754E+04   0.557308E+03
   0.202000E+02   0.369356E+04   0.561191E+03
   0.203000E+02   0.369953E+04   0.565067E+03
   0.204000E+02   0.370547E+04   0.568937E+03
   0.205000E+02   0.371137E+04   0.572799E+03
   0.206000E+02   0.371723E+04   0.576655E+03
   0.207000E+02   0.372305E+04   0.580503E+03
   0.208000E+02   0.372884E+04   0.584344E+03
   0.209000E+02   0.373458E+04   0.588177E+03
   0.210000E+02   0.374029E+04   0.592003E+03
   0.211000E+02   0.374597E+04   0.595822E+03
   0.212000E+02   0.375160E+04   0.599632E+03
   0.213000E+02   0.375721E+04   0.603435E+03
   0.214000E+02   0.376277E+04   0.607230E+03
   0.215000E+02   0.376830E+04   0.611018E+03
   0.216000E+02   0.377380E+04   0.614797E+03
   0.217000E+02   0.377926E+04   0.618568E+03
   0.218000E+02   0.378469E+04   0.622331E+03
   0.219000E+02   0.379008E+04   0.626086E+03
   0.220000E+02   0.379544E+04   0.629832E+03
   0.221000E+02   0.380077E+04   0.633570E+03
   0.222000E+02   0.380607E+04   0.637299E+03
   0.223000E+02   0.381133E+04   0.641020E+03
   0.224000E+02   0.381656E+04   0.644732E+03
   0.225000E+02   0.382175E+04   0.648436E+03
   0.226000E+02   0.382692E+04   0.652131E+03
   0.227000E+02   0.383205E+04   0.655816E+03
   0.228000E+02   0.383716E+04   0.659493E+03
   0.229000E+02   0.384223E+04   0.663161E+03
   0.230000E+02   0.384727E+04   0.666821E+03
   0.231000E+02   0.385228E+04   0.670470E+03
   0.232000E+02   0.385727E+04   0.674111E+03
   0.233000E+02   0.386222E+04   0.677743E+03
   0.234000E+02   0.386714E+04   0.681365E+03
   0.235000E+02   0.387203E+04   0.684978E+03
   0.236000E+02   0.387690E+04   0.688582E+03
   0.237000E+02   0.388173E+04   0.692176E+03
   0.238000E+02   0.388654E+04   0.695761E+03
   0.239000E+02   0.389132E+04   0.699336E+03
   0.240000E+02   0.389607E+04   0.702902E+03
   0.241000E+02   0.390079E+04   0.706458E+03
   0.242000E+02   0.390549E+04   0.710005E+03
   0.243000E+02   0.391016E+04   0.713542E+03
   0.244000E+02   0.391480E+04   0.717069E+03
   0.245000E+02   0.391941E+04   0.720586E+03
   0.246000E+02   0.392400E+04   0.724094E+03
   0.247000E+02   0.392856E+04   0.727592E+03
   0.248000E+02   0.393310E+04   0.731080E+03
   0.249000E+02   0.393761E+04   0.734558E+03
   0.250000E+02   0.394209E+04   0.738026E+03
   0.251000E+02   0.394655E+04   0.741484E+03
   0.252000E+02   0.395098E+04   0.744932E+03
   0.253000E+02   0.395539E+04   0.748370E+03
   0.254000E+02   0.395977E+04   0.751798E+03
   0.255000E+02   0.396413E+04   0.755216E+03
   0.256000E+02   0.396846E+04   0.758624E+03
   0.257000E+02   0.397277E+04   0.762021E+03
   0.258000E+02   0.397706E+04   0.765409E+03
   0.259000E+02   0.398132E+04   0.768786E+03
   0.260000E+02   0.398556E+04   0.772153E+03
   0.261000E+02   0.398977E+04   0.775510E+03
   0.262000E+02   0.399396E+04   0.778857E+03
   0.263000E+02   0.399813E+04   0.782193E+03
   0.264000E+02   0.400227E+04   0.785520E+03
   0.265000E+02   0.400640E+04   0.788835E+03
   0.266000E+02   0.401049E+04   0.792141E+03
   0.267000E+02   0.401457E+04   0.795436E+03
   0.268000E+02   0.401863E+04   0.798721E+03
   0.269000E+02   0.402266E+04   0.801995E+03
   0.270000E+02   0.402667E+04   0.805260E+03
   0.271000E+02   0.403066E+04   0.808513E+03
   0.272000E+02   0.403462E+04   0.811757E+03
   0.273000E+02   0.403857E+04   0.814990E+03
   0.274000E+02   0.404249E+04   0.818212E+03
   0.275000E+02   0.404639E+04   0.821424E+03
   0.276000E+02   0.405028E+04   0.824626E+03
   0.277000E+02   0.405414E+04   0.827817E+03
   0.278000E+02   0.405798E+04   0.830998E+03
   0.279000E+02   0.406180E+04   0.834168E+03
   0.280000E+02   0.406560E+04   0.837328E+03
   0.281000E+02   0.406937E+04   0.840477E+03
   0.282000E+02   0.407313E+04   0.843616E+03
   0.283000E+02   0.407687E+04   0.846745E+03
   0.284000E+02   0.408059E+04   0.849863E+03
   0.285000E+02   0.408429E+04   0.852970E+03
   0.286000E+02   0.408797E+04   0.856068E+03
   0.287000E+02   0.409163E+04   0.859154E+03
   0.288000E+02   0.409527E+04   0.862230E+03
   0.289000E+02   0.409890E+04   0.865296E+03
   0.290000E+02   0.410250E+04   0.868351E+03
   0.291000E+02   0.410608E+04   0.871396E+03
   0.292000E+02   0.410965E+04   0.874430E+03
   0.293000E+02   0.411320E+04   0.877454E+03
   0.294000E+02   0.411673E+04   0.880468E+03
   0.295000E+02   0.412024E+04   0.883471E+03
   0.296000E+02   0.412373E+04   0.886463E+03
   0.297000E+02   0.412720E+04   0.889445E+03
   0.298000E+02   0.413066E+04   0.892417E+03
   0.299000E+02   0.413410E+04   0.895379E+03
   0.300000E+02   0.413752E+04   0.898329E+03
   0.301000E+02   0.414092E+04   0.901270E+03
   0.302000E+02   0.414431E+04   0.904200E+03
   0.303000E+02   0.414767E+04   0.907120E+03
   0.304000E+02   0.415103E+04   0.910029E+03
   0.305000E+02   0.415436E+04   0.912928E+03
   0.306000E+02   0.415768E+04   0.915817E+03
   0.307000E+02   0.416098E+04   0.918695E+03
   0.308000E+02   0.416426E+04   0.921563E+03
   0.309000E+02   0.416753E+04   0.924421E+03
   0.310000E+02   0.417078E+04   0.927268E+03
   0.311000E+02   0.417401E+04   0.930105E+03
   0.312000E+02   0.417723E+04   0.932932E+03
   0.313000E+02   0.418043E+04   0.935748E+03
   0.314000E+02   0.418361E+04   0.938555E+03
   0.315000E+02   0.418678E+04   0.941351E+03
   0.316000E+02   0.418993E+04   0.944137E+03
   0.317000E+02   0.419307E+04   0.946912E+03
   0.318000E+02   0.419619E+04   0.949678E+03
   0.319000E+02   0.419930E+04   0.952433E+03
   0.320000E+02   0.420239E+04   0.955178E+03
   0.321000E+02   0.420546E+04   0.957913E+03
   0.322000E+02   0.420852E+04   0.960638E+03
   0.323000E+02   0.421157E+04   0.963352E+03
