#    c*t(cm)       probability       error
   0.000000E+00   0.783917E-10   0.600000E-16
   0.299790E-02   0.783916E-10   0.358329E-15
   0.599580E-02   0.783912E-10   0.125618E-14
   0.899370E-02   0.783905E-10   0.287891E-14
   0.119916E-01   0.783894E-10   0.533634E-14
   0.149895E-01   0.783879E-10   0.869549E-14
   0.179874E-01   0.783859E-10   0.129316E-13
   0.209853E-01   0.783833E-10   0.180901E-13
   0.239832E-01   0.783803E-10   0.240561E-13
   0.269811E-01   0.783767E-10   0.308013E-13
   0.299790E-01   0.783728E-10   0.380400E-13
   0.329769E-01   0.783684E-10   0.457505E-13
   0.359748E-01   0.783635E-10   0.541510E-13
   0.389727E-01   0.783579E-10   0.635020E-13
   0.419706E-01   0.783516E-10   0.735564E-13
   0.449685E-01   0.783448E-10   0.839674E-13
   0.479664E-01   0.783376E-10   0.945300E-13
   0.509643E-01   0.783299E-10   0.105257E-12
   0.539622E-01   0.783217E-10   0.116087E-12
   0.569601E-01   0.783133E-10   0.126349E-12
   0.599580E-01   0.783046E-10   0.136396E-12
   0.629559E-01   0.782955E-10   0.146490E-12
   0.659538E-01   0.782860E-10   0.156784E-12
   0.689517E-01   0.782759E-10   0.167326E-12
   0.719496E-01   0.782653E-10   0.178102E-12
   0.749475E-01   0.782542E-10   0.189069E-12
   0.779454E-01   0.782426E-10   0.200323E-12
   0.809433E-01   0.782305E-10   0.211612E-12
   0.839412E-01   0.782181E-10   0.223088E-12
   0.869391E-01   0.782053E-10   0.234668E-12
   0.899370E-01   0.781921E-10   0.246419E-12
   0.929349E-01   0.781783E-10   0.258380E-12
   0.959328E-01   0.781643E-10   0.270533E-12
   0.989307E-01   0.781497E-10   0.283112E-12
   0.101929E+00   0.781349E-10   0.295666E-12
   0.104926E+00   0.781197E-10   0.308448E-12
   0.107924E+00   0.781041E-10   0.321223E-12
   0.110922E+00   0.780882E-10   0.334159E-12
   0.113920E+00   0.780720E-10   0.347372E-12
   0.116918E+00   0.780554E-10   0.360850E-12
   0.119916E+00   0.780386E-10   0.374544E-12
   0.122914E+00   0.780215E-10   0.388544E-12
   0.125912E+00   0.780041E-10   0.402760E-12
   0.128910E+00   0.779865E-10   0.417119E-12
   0.131908E+00   0.779687E-10   0.431563E-12
   0.134905E+00   0.779507E-10   0.446028E-12
   0.137903E+00   0.779324E-10   0.460696E-12
   0.140901E+00   0.779139E-10   0.475405E-12
   0.143899E+00   0.778952E-10   0.490151E-12
   0.146897E+00   0.778764E-10   0.504737E-12
   0.149895E+00   0.778573E-10   0.519383E-12
   0.152893E+00   0.778383E-10   0.533840E-12
   0.155891E+00   0.778193E-10   0.548296E-12
   0.158889E+00   0.778001E-10   0.562484E-12
   0.161887E+00   0.777806E-10   0.576629E-12
   0.164884E+00   0.777609E-10   0.590790E-12
   0.167882E+00   0.777411E-10   0.604843E-12
   0.170880E+00   0.777211E-10   0.618777E-12
   0.173878E+00   0.777009E-10   0.632544E-12
   0.176876E+00   0.776807E-10   0.646015E-12
   0.179874E+00   0.776603E-10   0.659466E-12
   0.182872E+00   0.776398E-10   0.672352E-12
   0.185870E+00   0.776193E-10   0.684907E-12
   0.188868E+00   0.775988E-10   0.697067E-12
   0.191866E+00   0.775784E-10   0.709073E-12
   0.194863E+00   0.775579E-10   0.720980E-12
   0.197861E+00   0.775374E-10   0.732976E-12
   0.200859E+00   0.775170E-10   0.744753E-12
   0.203857E+00   0.774965E-10   0.756290E-12
   0.206855E+00   0.774763E-10   0.767659E-12
   0.209853E+00   0.774559E-10   0.778973E-12
   0.212851E+00   0.774356E-10   0.790153E-12
   0.215849E+00   0.774154E-10   0.801407E-12
   0.218847E+00   0.773951E-10   0.812615E-12
   0.221845E+00   0.773745E-10   0.824027E-12
   0.224842E+00   0.773538E-10   0.835717E-12
   0.227840E+00   0.773326E-10   0.847831E-12
   0.230838E+00   0.773114E-10   0.860128E-12
   0.233836E+00   0.772903E-10   0.872276E-12
   0.236834E+00   0.772691E-10   0.884181E-12
   0.239832E+00   0.772480E-10   0.896197E-12
   0.242830E+00   0.772269E-10   0.908190E-12
   0.245828E+00   0.772057E-10   0.920223E-12
   0.248826E+00   0.771846E-10   0.932229E-12
   0.251824E+00   0.771633E-10   0.944190E-12
   0.254821E+00   0.771421E-10   0.956190E-12
   0.257819E+00   0.771207E-10   0.968246E-12
   0.260817E+00   0.770994E-10   0.980189E-12
   0.263815E+00   0.770782E-10   0.992124E-12
   0.266813E+00   0.770573E-10   0.100372E-11
   0.269811E+00   0.770365E-10   0.101543E-11
   0.272809E+00   0.770156E-10   0.102701E-11
   0.275807E+00   0.769948E-10   0.103855E-11
   0.278805E+00   0.769738E-10   0.105007E-11
   0.281803E+00   0.769526E-10   0.106183E-11
   0.284800E+00   0.769312E-10   0.107342E-11
   0.287798E+00   0.769098E-10   0.108521E-11
   0.290796E+00   0.768881E-10   0.109679E-11
   0.293794E+00   0.768666E-10   0.110826E-11
   0.296792E+00   0.768448E-10   0.111982E-11
   0.299790E+00   0.768231E-10   0.113108E-11
   0.302788E+00   0.768015E-10   0.114215E-11
   0.305786E+00   0.767799E-10   0.115312E-11
   0.308784E+00   0.767584E-10   0.116392E-11
   0.311782E+00   0.767372E-10   0.117418E-11
   0.314779E+00   0.767162E-10   0.118425E-11
   0.317777E+00   0.766949E-10   0.119440E-11
   0.320775E+00   0.766739E-10   0.120405E-11
   0.323773E+00   0.766527E-10   0.121386E-11
   0.326771E+00   0.766319E-10   0.122309E-11
   0.329769E+00   0.766109E-10   0.123250E-11
   0.332767E+00   0.765899E-10   0.124175E-11
   0.335765E+00   0.765689E-10   0.125072E-11
   0.338763E+00   0.765478E-10   0.125948E-11
   0.341761E+00   0.765265E-10   0.126807E-11
   0.344758E+00   0.765057E-10   0.127619E-11
   0.347756E+00   0.764848E-10   0.128433E-11
   0.350754E+00   0.764642E-10   0.129247E-11
   0.353752E+00   0.764434E-10   0.130103E-11
   0.356750E+00   0.764231E-10   0.130913E-11
   0.359748E+00   0.764032E-10   0.131726E-11
   0.362746E+00   0.763827E-10   0.132632E-11
   0.365744E+00   0.763624E-10   0.133520E-11
   0.368742E+00   0.763428E-10   0.134364E-11
   0.371740E+00   0.763227E-10   0.135286E-11
   0.374737E+00   0.763032E-10   0.136147E-11
   0.377735E+00   0.762833E-10   0.137117E-11
   0.380733E+00   0.762637E-10   0.138058E-11
   0.383731E+00   0.762443E-10   0.138974E-11
   0.386729E+00   0.762250E-10   0.139940E-11
   0.389727E+00   0.762056E-10   0.140914E-11
   0.392725E+00   0.761865E-10   0.141895E-11
   0.395723E+00   0.761678E-10   0.142863E-11
   0.398721E+00   0.761491E-10   0.143843E-11
   0.401719E+00   0.761305E-10   0.144828E-11
   0.404716E+00   0.761119E-10   0.145770E-11
   0.407714E+00   0.760933E-10   0.146773E-11
   0.410712E+00   0.760749E-10   0.147750E-11
   0.413710E+00   0.760566E-10   0.148697E-11
   0.416708E+00   0.760382E-10   0.149698E-11
   0.419706E+00   0.760200E-10   0.150708E-11
   0.422704E+00   0.760016E-10   0.151720E-11
   0.425702E+00   0.759834E-10   0.152740E-11
   0.428700E+00   0.759656E-10   0.153725E-11
   0.431698E+00   0.759481E-10   0.154745E-11
   0.434695E+00   0.759302E-10   0.155771E-11
   0.437693E+00   0.759123E-10   0.156767E-11
   0.440691E+00   0.758949E-10   0.157656E-11
   0.443689E+00   0.758771E-10   0.158681E-11
   0.446687E+00   0.758602E-10   0.159635E-11
   0.449685E+00   0.758434E-10   0.160603E-11
   0.452683E+00   0.758267E-10   0.161581E-11
   0.455681E+00   0.758106E-10   0.162512E-11
   0.458679E+00   0.757949E-10   0.163401E-11
   0.461677E+00   0.757788E-10   0.164316E-11
   0.464674E+00   0.757633E-10   0.165193E-11
   0.467672E+00   0.757482E-10   0.166042E-11
   0.470670E+00   0.757333E-10   0.166892E-11
   0.473668E+00   0.757187E-10   0.167718E-11
   0.476666E+00   0.757043E-10   0.168479E-11
   0.479664E+00   0.756902E-10   0.169170E-11
   0.482662E+00   0.756759E-10   0.169872E-11
   0.485660E+00   0.756620E-10   0.170509E-11
   0.488658E+00   0.756484E-10   0.171105E-11
   0.491656E+00   0.756350E-10   0.171646E-11
   0.494653E+00   0.756216E-10   0.172151E-11
   0.497651E+00   0.756084E-10   0.172549E-11
   0.500649E+00   0.755953E-10   0.172973E-11
   0.503647E+00   0.755828E-10   0.173344E-11
   0.506645E+00   0.755708E-10   0.173664E-11
   0.509643E+00   0.755582E-10   0.174012E-11
   0.512641E+00   0.755456E-10   0.174412E-11
   0.515639E+00   0.755331E-10   0.174804E-11
   0.518637E+00   0.755203E-10   0.175195E-11
   0.521635E+00   0.755079E-10   0.175563E-11
   0.524632E+00   0.754961E-10   0.175857E-11
   0.527630E+00   0.754845E-10   0.176167E-11
   0.530628E+00   0.754734E-10   0.176467E-11
   0.533626E+00   0.754626E-10   0.176707E-11
   0.536624E+00   0.754519E-10   0.176930E-11
   0.539622E+00   0.754415E-10   0.177103E-11
   0.542620E+00   0.754303E-10   0.177301E-11
   0.545618E+00   0.754202E-10   0.177515E-11
