#    c*t(cm)       probability       error
   0.000000E+00   0.865419E-10   0.900000E-16
   0.299790E-02   0.865417E-10   0.596322E-15
   0.599580E-02   0.865412E-10   0.190895E-14
   0.899370E-02   0.865402E-10   0.425216E-14
   0.119916E-01   0.865386E-10   0.772881E-14
   0.149895E-01   0.865365E-10   0.123970E-13
   0.179874E-01   0.865337E-10   0.183005E-13
   0.209853E-01   0.865302E-10   0.253533E-13
   0.239832E-01   0.865260E-10   0.335679E-13
   0.269811E-01   0.865213E-10   0.428259E-13
   0.299790E-01   0.865159E-10   0.530466E-13
   0.329769E-01   0.865100E-10   0.640810E-13
   0.359748E-01   0.865034E-10   0.758000E-13
   0.389727E-01   0.864962E-10   0.880947E-13
   0.419706E-01   0.864884E-10   0.100859E-12
   0.449685E-01   0.864799E-10   0.113993E-12
   0.479664E-01   0.864707E-10   0.127369E-12
   0.509643E-01   0.864607E-10   0.140987E-12
   0.539622E-01   0.864499E-10   0.154793E-12
   0.569601E-01   0.864383E-10   0.168732E-12
   0.599580E-01   0.864258E-10   0.182810E-12
   0.629559E-01   0.864123E-10   0.197018E-12
   0.659538E-01   0.863980E-10   0.211443E-12
   0.689517E-01   0.863828E-10   0.226076E-12
   0.719496E-01   0.863666E-10   0.241038E-12
   0.749475E-01   0.863498E-10   0.256390E-12
   0.779454E-01   0.863320E-10   0.272107E-12
   0.809433E-01   0.863137E-10   0.288266E-12
   0.839412E-01   0.862947E-10   0.304984E-12
   0.869391E-01   0.862750E-10   0.322125E-12
   0.899370E-01   0.862550E-10   0.339834E-12
   0.929349E-01   0.862345E-10   0.357917E-12
   0.959328E-01   0.862137E-10   0.376556E-12
   0.989307E-01   0.861927E-10   0.395515E-12
   0.101929E+00   0.861716E-10   0.414823E-12
   0.104926E+00   0.861502E-10   0.434411E-12
   0.107924E+00   0.861288E-10   0.454197E-12
   0.110922E+00   0.861075E-10   0.474487E-12
   0.113920E+00   0.860860E-10   0.494731E-12
   0.116918E+00   0.860648E-10   0.515190E-12
   0.119916E+00   0.860434E-10   0.535608E-12
   0.122914E+00   0.860221E-10   0.555923E-12
   0.125912E+00   0.860006E-10   0.575916E-12
   0.128910E+00   0.859794E-10   0.595872E-12
   0.131908E+00   0.859579E-10   0.615279E-12
   0.134905E+00   0.859364E-10   0.634666E-12
   0.137903E+00   0.859150E-10   0.653337E-12
   0.140901E+00   0.858934E-10   0.672066E-12
   0.143899E+00   0.858714E-10   0.690045E-12
   0.146897E+00   0.858497E-10   0.707990E-12
   0.149895E+00   0.858278E-10   0.725299E-12
   0.152893E+00   0.858058E-10   0.742635E-12
   0.155891E+00   0.857842E-10   0.759504E-12
   0.158889E+00   0.857619E-10   0.775817E-12
   0.161887E+00   0.857397E-10   0.791910E-12
   0.164884E+00   0.857173E-10   0.807805E-12
   0.167882E+00   0.856945E-10   0.823516E-12
   0.170880E+00   0.856716E-10   0.839161E-12
   0.173878E+00   0.856487E-10   0.854826E-12
   0.176876E+00   0.856255E-10   0.869964E-12
   0.179874E+00   0.856022E-10   0.885171E-12
   0.182872E+00   0.855788E-10   0.900310E-12
   0.185870E+00   0.855551E-10   0.915213E-12
   0.188868E+00   0.855308E-10   0.930422E-12
   0.191866E+00   0.855067E-10   0.945629E-12
   0.194863E+00   0.854821E-10   0.960579E-12
   0.197861E+00   0.854570E-10   0.975725E-12
   0.200859E+00   0.854317E-10   0.991098E-12
   0.203857E+00   0.854059E-10   0.100663E-11
   0.206855E+00   0.853799E-10   0.102238E-11
   0.209853E+00   0.853537E-10   0.103800E-11
   0.212851E+00   0.853268E-10   0.105339E-11
   0.215849E+00   0.853000E-10   0.106898E-11
   0.218847E+00   0.852728E-10   0.108433E-11
   0.221845E+00   0.852456E-10   0.109938E-11
   0.224842E+00   0.852183E-10   0.111447E-11
   0.227840E+00   0.851907E-10   0.112899E-11
   0.230838E+00   0.851629E-10   0.114345E-11
   0.233836E+00   0.851348E-10   0.115733E-11
   0.236834E+00   0.851069E-10   0.117147E-11
   0.239832E+00   0.850790E-10   0.118493E-11
   0.242830E+00   0.850512E-10   0.119841E-11
   0.245828E+00   0.850230E-10   0.121149E-11
   0.248826E+00   0.849948E-10   0.122482E-11
   0.251824E+00   0.849664E-10   0.123826E-11
   0.254821E+00   0.849377E-10   0.125135E-11
   0.257819E+00   0.849093E-10   0.126464E-11
   0.260817E+00   0.848810E-10   0.127744E-11
   0.263815E+00   0.848528E-10   0.129087E-11
   0.266813E+00   0.848245E-10   0.130426E-11
   0.269811E+00   0.847969E-10   0.131805E-11
   0.272809E+00   0.847696E-10   0.133177E-11
   0.275807E+00   0.847429E-10   0.134559E-11
   0.278805E+00   0.847157E-10   0.136025E-11
   0.281803E+00   0.846888E-10   0.137461E-11
   0.284800E+00   0.846617E-10   0.138936E-11
   0.287798E+00   0.846346E-10   0.140425E-11
   0.290796E+00   0.846081E-10   0.141945E-11
   0.293794E+00   0.845822E-10   0.143593E-11
   0.296792E+00   0.845562E-10   0.145211E-11
   0.299790E+00   0.845304E-10   0.146847E-11
   0.302788E+00   0.845048E-10   0.148564E-11
   0.305786E+00   0.844790E-10   0.150236E-11
   0.308784E+00   0.844539E-10   0.151923E-11
   0.311782E+00   0.844290E-10   0.153589E-11
   0.314779E+00   0.844052E-10   0.155262E-11
   0.317777E+00   0.843823E-10   0.156951E-11
   0.320775E+00   0.843601E-10   0.158643E-11
   0.323773E+00   0.843385E-10   0.160365E-11
   0.326771E+00   0.843179E-10   0.162056E-11
   0.329769E+00   0.842985E-10   0.163745E-11
   0.332767E+00   0.842788E-10   0.165493E-11
   0.335765E+00   0.842597E-10   0.167221E-11
   0.338763E+00   0.842408E-10   0.168950E-11
   0.341761E+00   0.842226E-10   0.170684E-11
   0.344758E+00   0.842048E-10   0.172415E-11
   0.347756E+00   0.841877E-10   0.174183E-11
   0.350754E+00   0.841713E-10   0.175989E-11
   0.353752E+00   0.841556E-10   0.177778E-11
   0.356750E+00   0.841402E-10   0.179585E-11
   0.359748E+00   0.841257E-10   0.181349E-11
   0.362746E+00   0.841118E-10   0.183014E-11
   0.365744E+00   0.840988E-10   0.184638E-11
   0.368742E+00   0.840866E-10   0.186180E-11
   0.371740E+00   0.840752E-10   0.187721E-11
   0.374737E+00   0.840639E-10   0.189333E-11
   0.377735E+00   0.840534E-10   0.190889E-11
   0.380733E+00   0.840429E-10   0.192455E-11
   0.383731E+00   0.840338E-10   0.193958E-11
   0.386729E+00   0.840254E-10   0.195464E-11
   0.389727E+00   0.840169E-10   0.196912E-11
   0.392725E+00   0.840093E-10   0.198330E-11
   0.395723E+00   0.840020E-10   0.199720E-11
   0.398721E+00   0.839951E-10   0.201070E-11
   0.401719E+00   0.839885E-10   0.202309E-11
   0.404716E+00   0.839827E-10   0.203457E-11
   0.407714E+00   0.839778E-10   0.204595E-11
   0.410712E+00   0.839734E-10   0.205738E-11
   0.413710E+00   0.839706E-10   0.206845E-11
   0.416708E+00   0.839681E-10   0.207859E-11
   0.419706E+00   0.839660E-10   0.208951E-11
   0.422704E+00   0.839641E-10   0.210021E-11
   0.425702E+00   0.839627E-10   0.211096E-11
   0.428700E+00   0.839614E-10   0.212170E-11
   0.431698E+00   0.839604E-10   0.213167E-11
   0.434695E+00   0.839594E-10   0.214084E-11
   0.437693E+00   0.839593E-10   0.214916E-11
   0.440691E+00   0.839596E-10   0.215813E-11
   0.443689E+00   0.839589E-10   0.216563E-11
   0.446687E+00   0.839600E-10   0.217184E-11
