#    c*t(cm)       probability       error
   0.000000E+00   0.762236E-10   0.300000E-16
   0.299790E-02   0.762235E-10   0.328786E-15
   0.599580E-02   0.762231E-10   0.114197E-14
   0.899370E-02   0.762225E-10   0.262450E-14
   0.119916E-01   0.762215E-10   0.489580E-14
   0.149895E-01   0.762201E-10   0.797547E-14
   0.179874E-01   0.762182E-10   0.118637E-13
   0.209853E-01   0.762159E-10   0.165948E-13
   0.239832E-01   0.762131E-10   0.220311E-13
   0.269811E-01   0.762098E-10   0.282165E-13
   0.299790E-01   0.762060E-10   0.350261E-13
   0.329769E-01   0.762017E-10   0.424241E-13
   0.359748E-01   0.761969E-10   0.502751E-13
   0.389727E-01   0.761916E-10   0.586096E-13
   0.419706E-01   0.761857E-10   0.673047E-13
   0.449685E-01   0.761793E-10   0.763257E-13
   0.479664E-01   0.761724E-10   0.855982E-13
   0.509643E-01   0.761649E-10   0.950603E-13
   0.539622E-01   0.761570E-10   0.104746E-12
   0.569601E-01   0.761484E-10   0.114588E-12
   0.599580E-01   0.761394E-10   0.124587E-12
   0.629559E-01   0.761300E-10   0.134784E-12
   0.659538E-01   0.761201E-10   0.145195E-12
   0.689517E-01   0.761097E-10   0.155832E-12
   0.719496E-01   0.760990E-10   0.166620E-12
   0.749475E-01   0.760880E-10   0.177456E-12
   0.779454E-01   0.760767E-10   0.188493E-12
   0.809433E-01   0.760652E-10   0.199431E-12
   0.839412E-01   0.760534E-10   0.210495E-12
   0.869391E-01   0.760413E-10   0.221655E-12
   0.899370E-01   0.760290E-10   0.232910E-12
   0.929349E-01   0.760164E-10   0.244160E-12
   0.959328E-01   0.760036E-10   0.255475E-12
   0.989307E-01   0.759906E-10   0.266825E-12
   0.101929E+00   0.759773E-10   0.278198E-12
   0.104926E+00   0.759638E-10   0.289664E-12
   0.107924E+00   0.759500E-10   0.301193E-12
   0.110922E+00   0.759360E-10   0.312828E-12
   0.113920E+00   0.759217E-10   0.324469E-12
   0.116918E+00   0.759070E-10   0.336095E-12
   0.119916E+00   0.758922E-10   0.347595E-12
   0.122914E+00   0.758771E-10   0.359179E-12
   0.125912E+00   0.758617E-10   0.370709E-12
   0.128910E+00   0.758460E-10   0.382369E-12
   0.131908E+00   0.758301E-10   0.394076E-12
   0.134905E+00   0.758140E-10   0.405679E-12
   0.137903E+00   0.757976E-10   0.417322E-12
   0.140901E+00   0.757811E-10   0.428937E-12
   0.143899E+00   0.757643E-10   0.440552E-12
   0.146897E+00   0.757474E-10   0.452124E-12
   0.149895E+00   0.757304E-10   0.463694E-12
   0.152893E+00   0.757130E-10   0.475306E-12
   0.155891E+00   0.756954E-10   0.487110E-12
   0.158889E+00   0.756775E-10   0.498991E-12
   0.161887E+00   0.756595E-10   0.510749E-12
   0.164884E+00   0.756413E-10   0.522561E-12
   0.167882E+00   0.756229E-10   0.534501E-12
   0.170880E+00   0.756042E-10   0.546354E-12
   0.173878E+00   0.755854E-10   0.558240E-12
   0.176876E+00   0.755665E-10   0.570122E-12
   0.179874E+00   0.755473E-10   0.581869E-12
   0.182872E+00   0.755281E-10   0.593576E-12
   0.185870E+00   0.755088E-10   0.605169E-12
   0.188868E+00   0.754894E-10   0.616646E-12
   0.191866E+00   0.754699E-10   0.628216E-12
