#    c*t(cm)       probability       error
   0.194863E+00   0.754504E-10   0.639616E-12
   0.197861E+00   0.754309E-10   0.650994E-12
   0.200859E+00   0.754115E-10   0.662246E-12
   0.203857E+00   0.753919E-10   0.673447E-12
   0.206855E+00   0.753724E-10   0.684605E-12
   0.209853E+00   0.753531E-10   0.695585E-12
   0.212851E+00   0.753338E-10   0.706509E-12
   0.215849E+00   0.753144E-10   0.717472E-12
   0.218847E+00   0.752951E-10   0.728268E-12
   0.221845E+00   0.752758E-10   0.739068E-12
   0.224842E+00   0.752566E-10   0.749514E-12
   0.227840E+00   0.752372E-10   0.759907E-12
   0.230838E+00   0.752178E-10   0.770222E-12
   0.233836E+00   0.751986E-10   0.780435E-12
   0.236834E+00   0.751792E-10   0.790670E-12
   0.239832E+00   0.751601E-10   0.800580E-12
   0.242830E+00   0.751409E-10   0.810841E-12
   0.245828E+00   0.751222E-10   0.820447E-12
   0.248826E+00   0.751033E-10   0.830143E-12
   0.251824E+00   0.750846E-10   0.839791E-12
   0.254821E+00   0.750658E-10   0.849473E-12
   0.257819E+00   0.750472E-10   0.859171E-12
   0.260817E+00   0.750284E-10   0.868898E-12
   0.263815E+00   0.750100E-10   0.878432E-12
   0.266813E+00   0.749919E-10   0.887940E-12
   0.269811E+00   0.749738E-10   0.897455E-12
   0.272809E+00   0.749561E-10   0.906846E-12
   0.275807E+00   0.749380E-10   0.916469E-12
   0.278805E+00   0.749203E-10   0.926166E-12
   0.281803E+00   0.749027E-10   0.935845E-12
   0.284800E+00   0.748853E-10   0.945561E-12
   0.287798E+00   0.748682E-10   0.955211E-12
   0.290796E+00   0.748512E-10   0.964884E-12
   0.293794E+00   0.748343E-10   0.974487E-12
   0.296792E+00   0.748177E-10   0.983943E-12
   0.299790E+00   0.748011E-10   0.993425E-12
   0.302788E+00   0.747843E-10   0.100305E-11
   0.305786E+00   0.747680E-10   0.101242E-11
   0.308784E+00   0.747517E-10   0.102173E-11
   0.311782E+00   0.747350E-10   0.103134E-11
   0.314779E+00   0.747186E-10   0.104088E-11
   0.317777E+00   0.747023E-10   0.105041E-11
   0.320775E+00   0.746860E-10   0.106011E-11
   0.323773E+00   0.746699E-10   0.106965E-11
   0.326771E+00   0.746538E-10   0.107917E-11
   0.329769E+00   0.746377E-10   0.108867E-11
   0.332767E+00   0.746219E-10   0.109815E-11
   0.335765E+00   0.746061E-10   0.110761E-11
   0.338763E+00   0.745902E-10   0.111698E-11
   0.341761E+00   0.745746E-10   0.112628E-11
   0.344758E+00   0.745591E-10   0.113548E-11
   0.347756E+00   0.745435E-10   0.114470E-11
   0.350754E+00   0.745282E-10   0.115363E-11
   0.353752E+00   0.745131E-10   0.116232E-11
   0.356750E+00   0.744979E-10   0.117120E-11
   0.359748E+00   0.744829E-10   0.117973E-11
   0.362746E+00   0.744679E-10   0.118838E-11
   0.365744E+00   0.744530E-10   0.119673E-11
   0.368742E+00   0.744384E-10   0.120508E-11
   0.371740E+00   0.744238E-10   0.121338E-11
   0.374737E+00   0.744092E-10   0.122155E-11
   0.377735E+00   0.743945E-10   0.122962E-11
   0.380733E+00   0.743803E-10   0.123770E-11
   0.383731E+00   0.743657E-10   0.124583E-11
   0.386729E+00   0.743512E-10   0.125391E-11
   0.389727E+00   0.743366E-10   0.126212E-11
   0.392725E+00   0.743221E-10   0.127014E-11
   0.395723E+00   0.743077E-10   0.127801E-11
   0.398721E+00   0.742934E-10   0.128567E-11
   0.401719E+00   0.742793E-10   0.129313E-11
   0.404716E+00   0.742649E-10   0.130072E-11
   0.407714E+00   0.742508E-10   0.130806E-11
   0.410712E+00   0.742367E-10   0.131513E-11
   0.413710E+00   0.742228E-10   0.132173E-11
   0.416708E+00   0.742094E-10   0.132833E-11
   0.419706E+00   0.741958E-10   0.133501E-11
   0.422704E+00   0.741821E-10   0.134179E-11
   0.425702E+00   0.741687E-10   0.134793E-11
   0.428700E+00   0.741553E-10   0.135438E-11
   0.431698E+00   0.741422E-10   0.136032E-11
   0.434695E+00   0.741293E-10   0.136610E-11
   0.437693E+00   0.741164E-10   0.137177E-11
   0.440691E+00   0.741039E-10   0.137708E-11
   0.443689E+00   0.740916E-10   0.138248E-11
   0.446687E+00   0.740788E-10   0.138789E-11
   0.449685E+00   0.740667E-10   0.139288E-11
   0.452683E+00   0.740547E-10   0.139777E-11
   0.455681E+00   0.740427E-10   0.140283E-11
   0.458679E+00   0.740306E-10   0.140798E-11
   0.461677E+00   0.740188E-10   0.141294E-11
   0.464674E+00   0.740071E-10   0.141783E-11
   0.467672E+00   0.739951E-10   0.142305E-11
   0.470670E+00   0.739833E-10   0.142816E-11
   0.473668E+00   0.739717E-10   0.143339E-11
   0.476666E+00   0.739605E-10   0.143831E-11
   0.479664E+00   0.739500E-10   0.144312E-11
   0.482662E+00   0.739399E-10   0.144766E-11
   0.485660E+00   0.739300E-10   0.145228E-11
   0.488658E+00   0.739205E-10   0.145693E-11
   0.491656E+00   0.739112E-10   0.146132E-11
   0.494653E+00   0.739025E-10   0.146574E-11
   0.497651E+00   0.738939E-10   0.147009E-11
   0.500649E+00   0.738856E-10   0.147447E-11
   0.503647E+00   0.738779E-10   0.147854E-11
   0.506645E+00   0.738704E-10   0.148264E-11
   0.509643E+00   0.738634E-10   0.148677E-11
   0.512641E+00   0.738572E-10   0.149073E-11
   0.515639E+00   0.738515E-10   0.149480E-11
   0.518637E+00   0.738461E-10   0.149920E-11
   0.521635E+00   0.738415E-10   0.150324E-11
   0.524632E+00   0.738373E-10   0.150698E-11
   0.527630E+00   0.738338E-10   0.151081E-11
   0.530628E+00   0.738315E-10   0.151460E-11
   0.533626E+00   0.738298E-10   0.151857E-11
   0.536624E+00   0.738290E-10   0.152265E-11
   0.539622E+00   0.738293E-10   0.152702E-11
   0.542620E+00   0.738310E-10   0.153181E-11
   0.545618E+00   0.738342E-10   0.153684E-11
   0.548616E+00   0.738393E-10   0.154167E-11
   0.551614E+00   0.738465E-10   0.154593E-11
   0.554611E+00   0.738565E-10   0.154946E-11
   0.557609E+00   0.738701E-10   0.155294E-11
   0.560607E+00   0.738891E-10   0.155520E-11
   0.563605E+00   0.739152E-10   0.155582E-11
   0.566603E+00   0.739516E-10   0.155490E-11
   0.569601E+00   0.740021E-10   0.155270E-11
   0.572599E+00   0.740714E-10   0.154889E-11
   0.575597E+00   0.741664E-10   0.154534E-11
   0.578595E+00   0.742961E-10   0.154690E-11
   0.581593E+00   0.744736E-10   0.156386E-11
   0.584590E+00   0.747171E-10   0.161682E-11
   0.587588E+00   0.750508E-10   0.173944E-11
   0.590586E+00   0.755077E-10   0.198317E-11
   0.593584E+00   0.761307E-10   0.241049E-11
   0.596582E+00   0.769766E-10   0.308886E-11
   0.599580E+00   0.781230E-10   0.409270E-11
   0.602578E+00   0.796695E-10   0.551274E-11
   0.605576E+00   0.817483E-10   0.746619E-11
   0.608574E+00   0.845333E-10   0.101098E-10
   0.611572E+00   0.882481E-10   0.136461E-10
   0.614569E+00   0.931668E-10   0.183231E-10
   0.617567E+00   0.996825E-10   0.245002E-10
   0.620565E+00   0.108285E-09   0.326110E-10
   0.623563E+00   0.119591E-09   0.432155E-10
   0.626561E+00   0.134403E-09   0.570537E-10
   0.629559E+00   0.153718E-09   0.750117E-10
   0.632557E+00   0.178784E-09   0.981989E-10
   0.635555E+00   0.211208E-09   0.128020E-09
   0.638553E+00   0.253004E-09   0.166229E-09
   0.641551E+00   0.306662E-09   0.215028E-09
   0.644548E+00   0.375201E-09   0.277059E-09
   0.647546E+00   0.462305E-09   0.355378E-09
   0.650544E+00   0.573138E-09   0.454228E-09
   0.653542E+00   0.713221E-09   0.578408E-09
   0.656540E+00   0.889718E-09   0.733844E-09
   0.659538E+00   0.111166E-08   0.927731E-09
   0.662536E+00   0.138928E-08   0.116854E-08
   0.665534E+00   0.173537E-08   0.146643E-08
   0.668532E+00   0.216509E-08   0.183337E-08
   0.671530E+00   0.269692E-08   0.228420E-08
   0.674527E+00   0.335197E-08   0.283605E-08
   0.677525E+00   0.415716E-08   0.350833E-08
   0.680523E+00   0.514229E-08   0.432683E-08
   0.683521E+00   0.634281E-08   0.531677E-08
   0.686519E+00   0.780332E-08   0.651036E-08
   0.689517E+00   0.957551E-08   0.794594E-08
   0.692515E+00   0.117177E-07   0.966665E-08
   0.695513E+00   0.142951E-07   0.117194E-07
   0.698511E+00   0.173901E-07   0.141618E-07
   0.701509E+00   0.210863E-07   0.170562E-07
   0.704506E+00   0.254974E-07   0.204742E-07
   0.707504E+00   0.307439E-07   0.244951E-07
   0.710502E+00   0.369630E-07   0.292104E-07
   0.713500E+00   0.443037E-07   0.347132E-07
   0.716498E+00   0.529422E-07   0.411108E-07
   0.719496E+00   0.630669E-07   0.485144E-07
   0.722494E+00   0.749484E-07   0.571084E-07
   0.725492E+00   0.887897E-07   0.669668E-07
   0.728490E+00   0.104860E-06   0.782489E-07
   0.731488E+00   0.123518E-06   0.911738E-07
   0.734485E+00   0.145126E-06   0.105914E-06
   0.737483E+00   0.170064E-06   0.122648E-06
   0.740481E+00   0.198800E-06   0.141603E-06
   0.743479E+00   0.231835E-06   0.163035E-06
   0.746477E+00   0.269734E-06   0.187246E-06
   0.749475E+00   0.313227E-06   0.214395E-06
   0.752473E+00   0.363003E-06   0.244751E-06
   0.755471E+00   0.419898E-06   0.278652E-06
   0.758469E+00   0.484891E-06   0.316448E-06
   0.761467E+00   0.559068E-06   0.358442E-06
   0.764464E+00   0.643571E-06   0.404821E-06
   0.767462E+00   0.739831E-06   0.455947E-06
   0.770460E+00   0.849457E-06   0.512164E-06
   0.773458E+00   0.974314E-06   0.573681E-06
   0.776456E+00   0.111654E-05   0.640888E-06
   0.779454E+00   0.127885E-05   0.714010E-06
   0.782452E+00   0.146440E-05   0.793279E-06
   0.785450E+00   0.167676E-05   0.878952E-06
   0.788448E+00   0.192038E-05   0.971594E-06
   0.791446E+00   0.220067E-05   0.107190E-05
   0.794443E+00   0.252390E-05   0.118005E-05
   0.797441E+00   0.289756E-05   0.129626E-05
   0.800439E+00   0.333029E-05   0.142075E-05
   0.803437E+00   0.383296E-05   0.155385E-05
   0.806435E+00   0.441815E-05   0.169596E-05
   0.809433E+00   0.510092E-05   0.184744E-05
   0.812431E+00   0.589979E-05   0.200851E-05
   0.815429E+00   0.683621E-05   0.217981E-05
   0.818427E+00   0.793657E-05   0.236134E-05
   0.821425E+00   0.923198E-05   0.255317E-05
   0.824422E+00   0.107590E-04   0.275561E-05
   0.827420E+00   0.125612E-04   0.297001E-05
   0.830418E+00   0.146904E-04   0.319658E-05
   0.833416E+00   0.172068E-04   0.343496E-05
   0.836414E+00   0.201814E-04   0.368679E-05
   0.839412E+00   0.236972E-04   0.395227E-05
   0.842410E+00   0.278512E-04   0.423223E-05
   0.845408E+00   0.327572E-04   0.452798E-05
   0.848406E+00   0.385489E-04   0.484199E-05
   0.851404E+00   0.453807E-04   0.517429E-05
   0.854401E+00   0.534296E-04   0.552711E-05
   0.857399E+00   0.629016E-04   0.590190E-05
   0.860397E+00   0.740327E-04   0.630262E-05
   0.863395E+00   0.870967E-04   0.673616E-05
   0.866393E+00   0.102410E-03   0.720849E-05
   0.869391E+00   0.120331E-03   0.772381E-05
   0.872389E+00   0.141270E-03   0.828777E-05
   0.875387E+00   0.165691E-03   0.890453E-05
   0.878385E+00   0.194120E-03   0.957660E-05
   0.881383E+00   0.227160E-03   0.103086E-04
   0.884380E+00   0.265487E-03   0.111056E-04
   0.887378E+00   0.309860E-03   0.119711E-04
   0.890376E+00   0.361128E-03   0.129089E-04
   0.893374E+00   0.420238E-03   0.139241E-04
   0.896372E+00   0.488256E-03   0.150207E-04
   0.899370E+00   0.566365E-03   0.162003E-04
   0.902368E+00   0.655866E-03   0.174637E-04
   0.905366E+00   0.758204E-03   0.188077E-04
   0.908364E+00   0.874964E-03   0.202422E-04
   0.911362E+00   0.100787E-02   0.217806E-04
   0.914359E+00   0.115883E-02   0.234352E-04
   0.917357E+00   0.132989E-02   0.252418E-04
   0.920355E+00   0.152333E-02   0.272235E-04
   0.923353E+00   0.174154E-02   0.294217E-04
   0.926351E+00   0.198711E-02   0.318679E-04
   0.929349E+00   0.226280E-02   0.346112E-04
   0.932347E+00   0.257156E-02   0.377163E-04
   0.935345E+00   0.291650E-02   0.412354E-04
   0.938343E+00   0.330087E-02   0.452312E-04
   0.941341E+00   0.372812E-02   0.497678E-04
   0.944338E+00   0.420180E-02   0.549343E-04
   0.947336E+00   0.472559E-02   0.607915E-04
   0.950334E+00   0.530326E-02   0.674011E-04
   0.953332E+00   0.593860E-02   0.748022E-04
   0.956330E+00   0.663547E-02   0.830409E-04
   0.959328E+00   0.739768E-02   0.921690E-04
   0.962326E+00   0.822900E-02   0.102241E-03
   0.965324E+00   0.913313E-02   0.113292E-03
   0.968322E+00   0.101136E-01   0.125383E-03
   0.971320E+00   0.111739E-01   0.138563E-03
   0.974317E+00   0.123172E-01   0.152863E-03
   0.977315E+00   0.135464E-01   0.168322E-03
   0.980313E+00   0.148641E-01   0.184956E-03
   0.983311E+00   0.162725E-01   0.202806E-03
   0.986309E+00   0.177735E-01   0.221873E-03
   0.989307E+00   0.193686E-01   0.242174E-03
   0.992305E+00   0.210585E-01   0.263742E-03
   0.995303E+00   0.228438E-01   0.286576E-03
   0.998301E+00   0.247243E-01   0.310698E-03
   0.100130E+01   0.266993E-01   0.336053E-03
   0.100430E+01   0.287675E-01   0.362641E-03
   0.100729E+01   0.309270E-01   0.390447E-03
   0.101029E+01   0.331753E-01   0.419437E-03
   0.101329E+01   0.355092E-01   0.449565E-03
   0.101629E+01   0.379252E-01   0.480769E-03
   0.101929E+01   0.404187E-01   0.512966E-03
   0.102228E+01   0.429850E-01   0.546107E-03
   0.102528E+01   0.456186E-01   0.580152E-03
   0.102828E+01   0.483137E-01   0.614986E-03
   0.103128E+01   0.510639E-01   0.650502E-03
   0.103428E+01   0.538625E-01   0.686594E-03
   0.103727E+01   0.567024E-01   0.723169E-03
   0.104027E+01   0.595762E-01   0.760164E-03
   0.104327E+01   0.624764E-01   0.797377E-03
   0.104627E+01   0.653952E-01   0.834759E-03
   0.104926E+01   0.683249E-01   0.872199E-03
   0.105226E+01   0.712577E-01   0.909579E-03
   0.105526E+01   0.741857E-01   0.946852E-03
   0.105826E+01   0.771014E-01   0.983852E-03
   0.106126E+01   0.799974E-01   0.102051E-02
   0.106425E+01   0.828664E-01   0.105677E-02
   0.106725E+01   0.857016E-01   0.109254E-02
   0.107025E+01   0.884967E-01   0.112772E-02
   0.107325E+01   0.912454E-01   0.116229E-02
   0.107625E+01   0.939423E-01   0.119613E-02
   0.107924E+01   0.965823E-01   0.122915E-02
   0.108224E+01   0.991609E-01   0.126141E-02
   0.108524E+01   0.101674E+00   0.129247E-02
   0.108824E+01   0.104118E+00   0.132274E-02
   0.109124E+01   0.106491E+00   0.135183E-02
   0.109423E+01   0.108790E+00   0.138003E-02
   0.109723E+01   0.111014E+00   0.140699E-02
   0.110023E+01   0.113161E+00   0.143270E-02
   0.110323E+01   0.115232E+00   0.145753E-02
   0.110623E+01   0.117227E+00   0.148128E-02
   0.110922E+01   0.119145E+00   0.150362E-02
   0.111222E+01   0.120990E+00   0.152509E-02
   0.111522E+01   0.122762E+00   0.154516E-02
   0.111822E+01   0.124464E+00   0.156426E-02
   0.112121E+01   0.126099E+00   0.158230E-02
   0.112421E+01   0.127670E+00   0.159926E-02
   0.112721E+01   0.129182E+00   0.161544E-02
   0.113021E+01   0.130638E+00   0.163102E-02
   0.113321E+01   0.132044E+00   0.164537E-02
   0.113620E+01   0.133404E+00   0.165953E-02
   0.113920E+01   0.134723E+00   0.167314E-02
   0.114220E+01   0.136009E+00   0.168642E-02
   0.114520E+01   0.137266E+00   0.169948E-02
   0.114820E+01   0.138502E+00   0.171248E-02
   0.115119E+01   0.139723E+00   0.172561E-02
   0.115419E+01   0.140935E+00   0.173866E-02
   0.115719E+01   0.142146E+00   0.175214E-02
   0.116019E+01   0.143363E+00   0.176571E-02
   0.116319E+01   0.144591E+00   0.177926E-02
   0.116618E+01   0.145839E+00   0.179318E-02
   0.116918E+01   0.147112E+00   0.180708E-02
   0.117218E+01   0.148417E+00   0.182122E-02
   0.117518E+01   0.149760E+00   0.183559E-02
   0.117817E+01   0.151146E+00   0.185064E-02
   0.118117E+01   0.152581E+00   0.186600E-02
   0.118417E+01   0.154070E+00   0.188159E-02
   0.118717E+01   0.155618E+00   0.189794E-02
   0.119017E+01   0.157230E+00   0.191500E-02
   0.119316E+01   0.158909E+00   0.193264E-02
   0.119616E+01   0.160658E+00   0.195124E-02
   0.119916E+01   0.162482E+00   0.197089E-02
   0.120216E+01   0.164383E+00   0.199155E-02
   0.120516E+01   0.166362E+00   0.201366E-02
   0.120815E+01   0.168421E+00   0.203688E-02
   0.121115E+01   0.170562E+00   0.206179E-02
   0.121415E+01   0.172785E+00   0.208847E-02
   0.121715E+01   0.175090E+00   0.211654E-02
   0.122015E+01   0.177476E+00   0.214618E-02
   0.122314E+01   0.179942E+00   0.217766E-02
   0.122614E+01   0.182487E+00   0.221084E-02
   0.122914E+01   0.185107E+00   0.224605E-02
   0.123214E+01   0.187802E+00   0.228288E-02
   0.123513E+01   0.190566E+00   0.232156E-02
   0.123813E+01   0.193397E+00   0.236204E-02
   0.124113E+01   0.196289E+00   0.240426E-02
   0.124413E+01   0.199239E+00   0.244782E-02
   0.124713E+01   0.202240E+00   0.249339E-02
   0.125012E+01   0.205289E+00   0.254014E-02
   0.125312E+01   0.208378E+00   0.258838E-02
   0.125612E+01   0.211502E+00   0.263761E-02
   0.125912E+01   0.214654E+00   0.268814E-02
   0.126212E+01   0.217828E+00   0.273968E-02
   0.126511E+01   0.221018E+00   0.279172E-02
   0.126811E+01   0.224215E+00   0.284493E-02
   0.127111E+01   0.227414E+00   0.289844E-02
   0.127411E+01   0.230608E+00   0.295228E-02
   0.127711E+01   0.233790E+00   0.300602E-02
   0.128010E+01   0.236953E+00   0.306015E-02
   0.128310E+01   0.240091E+00   0.311411E-02
   0.128610E+01   0.243198E+00   0.316765E-02
   0.128910E+01   0.246268E+00   0.322097E-02
   0.129209E+01   0.249294E+00   0.327373E-02
   0.129509E+01   0.252272E+00   0.332556E-02
   0.129809E+01   0.255196E+00   0.337659E-02
   0.130109E+01   0.258062E+00   0.342698E-02
   0.130409E+01   0.260865E+00   0.347617E-02
   0.130708E+01   0.263601E+00   0.352438E-02
   0.131008E+01   0.266267E+00   0.357126E-02
   0.131308E+01   0.268860E+00   0.361683E-02
   0.131608E+01   0.271377E+00   0.366103E-02
   0.131908E+01   0.273816E+00   0.370370E-02
   0.132207E+01   0.276175E+00   0.374490E-02
   0.132507E+01   0.278453E+00   0.378450E-02
   0.132807E+01   0.280649E+00   0.382254E-02
   0.133107E+01   0.282763E+00   0.385863E-02
   0.133407E+01   0.284794E+00   0.389335E-02
   0.133706E+01   0.286743E+00   0.392649E-02
   0.134006E+01   0.288610E+00   0.395774E-02
   0.134306E+01   0.290396E+00   0.398751E-02
   0.134606E+01   0.292103E+00   0.401564E-02
   0.134905E+01   0.293732E+00   0.404226E-02
   0.135205E+01   0.295285E+00   0.406746E-02
   0.135505E+01   0.296764E+00   0.409104E-02
   0.135805E+01   0.298170E+00   0.411296E-02
   0.136105E+01   0.299507E+00   0.413339E-02
   0.136404E+01   0.300777E+00   0.415247E-02
   0.136704E+01   0.301982E+00   0.417008E-02
   0.137004E+01   0.303126E+00   0.418641E-02
   0.137304E+01   0.304210E+00   0.420144E-02
   0.137604E+01   0.305238E+00   0.421497E-02
   0.137903E+01   0.306213E+00   0.422723E-02
   0.138203E+01   0.307137E+00   0.423828E-02
   0.138503E+01   0.308014E+00   0.424803E-02
   0.138803E+01   0.308845E+00   0.425674E-02
   0.139103E+01   0.309634E+00   0.426430E-02
   0.139402E+01   0.310383E+00   0.427084E-02
   0.139702E+01   0.311095E+00   0.427632E-02
   0.140002E+01   0.311773E+00   0.428065E-02
   0.140302E+01   0.312419E+00   0.428388E-02
   0.140602E+01   0.313035E+00   0.428640E-02
   0.140901E+01   0.313623E+00   0.428774E-02
   0.141201E+01   0.314186E+00   0.428824E-02
   0.141501E+01   0.314726E+00   0.428797E-02
   0.141801E+01   0.315245E+00   0.428657E-02
   0.142100E+01   0.315743E+00   0.428466E-02
   0.142400E+01   0.316224E+00   0.428171E-02
   0.142700E+01   0.316688E+00   0.427823E-02
   0.143000E+01   0.317137E+00   0.427362E-02
   0.143300E+01   0.317573E+00   0.426845E-02
   0.143599E+01   0.317997E+00   0.426256E-02
   0.143899E+01   0.318410E+00   0.425576E-02
   0.144199E+01   0.318812E+00   0.424841E-02
   0.144499E+01   0.319206E+00   0.424049E-02
   0.144799E+01   0.319592E+00   0.423177E-02
   0.145098E+01   0.319971E+00   0.422249E-02
   0.145398E+01   0.320344E+00   0.421226E-02
   0.145698E+01   0.320711E+00   0.420139E-02
   0.145998E+01   0.321073E+00   0.418992E-02
   0.146298E+01   0.321431E+00   0.417803E-02
   0.146597E+01   0.321785E+00   0.416487E-02
   0.146897E+01   0.322136E+00   0.415165E-02
   0.147197E+01   0.322485E+00   0.413741E-02
   0.147497E+01   0.322831E+00   0.412272E-02
   0.147796E+01   0.323176E+00   0.410775E-02
   0.148096E+01   0.323519E+00   0.409173E-02
   0.148396E+01   0.323861E+00   0.407559E-02
   0.148696E+01   0.324202E+00   0.405896E-02
   0.148996E+01   0.324544E+00   0.404154E-02
   0.149295E+01   0.324885E+00   0.402384E-02
   0.149595E+01   0.325226E+00   0.400553E-02
   0.149895E+01   0.325568E+00   0.398697E-02
   0.150195E+01   0.325911E+00   0.396810E-02
   0.150495E+01   0.326255E+00   0.394875E-02
   0.150794E+01   0.326600E+00   0.392916E-02
   0.151094E+01   0.326947E+00   0.390940E-02
   0.151394E+01   0.327295E+00   0.388945E-02
   0.151694E+01   0.327646E+00   0.386950E-02
   0.151994E+01   0.327999E+00   0.384940E-02
   0.152293E+01   0.328355E+00   0.382904E-02
   0.152593E+01   0.328714E+00   0.380854E-02
   0.152893E+01   0.329077E+00   0.378852E-02
   0.153193E+01   0.329443E+00   0.376812E-02
   0.153492E+01   0.329813E+00   0.374764E-02
   0.153792E+01   0.330188E+00   0.372774E-02
   0.154092E+01   0.330568E+00   0.370762E-02
   0.154392E+01   0.330954E+00   0.368778E-02
   0.154692E+01   0.331345E+00   0.366820E-02
   0.154991E+01   0.331742E+00   0.364868E-02
   0.155291E+01   0.332147E+00   0.362974E-02
   0.155591E+01   0.332559E+00   0.361102E-02
   0.155891E+01   0.332980E+00   0.359246E-02
   0.156191E+01   0.333410E+00   0.357459E-02
   0.156490E+01   0.333849E+00   0.355702E-02
   0.156790E+01   0.334300E+00   0.353993E-02
   0.157090E+01   0.334762E+00   0.352325E-02
   0.157390E+01   0.335239E+00   0.350718E-02
   0.157690E+01   0.335730E+00   0.349190E-02
   0.157989E+01   0.336238E+00   0.347719E-02
   0.158289E+01   0.336764E+00   0.346300E-02
   0.158589E+01   0.337311E+00   0.344927E-02
   0.158889E+01   0.337880E+00   0.343646E-02
   0.159188E+01   0.338472E+00   0.342404E-02
   0.159488E+01   0.339091E+00   0.341268E-02
   0.159788E+01   0.339738E+00   0.340177E-02
   0.160088E+01   0.340415E+00   0.339205E-02
   0.160388E+01   0.341125E+00   0.338301E-02
   0.160687E+01   0.341869E+00   0.337480E-02
   0.160987E+01   0.342650E+00   0.336734E-02
   0.161287E+01   0.343471E+00   0.336048E-02
   0.161587E+01   0.344333E+00   0.335478E-02
   0.161887E+01   0.345239E+00   0.334978E-02
   0.162186E+01   0.346192E+00   0.334551E-02
   0.162486E+01   0.347192E+00   0.334228E-02
   0.162786E+01   0.348243E+00   0.333999E-02
   0.163086E+01   0.349345E+00   0.333865E-02
   0.163386E+01   0.350501E+00   0.333843E-02
   0.163685E+01   0.351712E+00   0.333939E-02
   0.163985E+01   0.352981E+00   0.334140E-02
   0.164285E+01   0.354307E+00   0.334444E-02
   0.164585E+01   0.355692E+00   0.334860E-02
   0.164884E+01   0.357137E+00   0.335401E-02
   0.165184E+01   0.358644E+00   0.336111E-02
   0.165484E+01   0.360212E+00   0.336950E-02
   0.165784E+01   0.361842E+00   0.337934E-02
   0.166084E+01   0.363533E+00   0.339061E-02
   0.166383E+01   0.365287E+00   0.340356E-02
   0.166683E+01   0.367101E+00   0.341792E-02
   0.166983E+01   0.368977E+00   0.343416E-02
