#    time(ps)         R(t,x=0)/R(t=0,x=0)          J(t,x=L)/J(t=0,x=L)  phi(t,x=L)/phi(t=0,x=L)
   0.940000E+02         0.159149E+04         0.904985E+03         0.156604E+04
   0.950000E+02         0.159199E+04         0.905491E+03         0.156714E+04
   0.960000E+02         0.159247E+04         0.905972E+03         0.156818E+04
   0.970000E+02         0.159293E+04         0.906428E+03         0.156917E+04
   0.980000E+02         0.159336E+04         0.906862E+03         0.157011E+04
   0.990000E+02         0.159378E+04         0.907275E+03         0.157101E+04
   0.100000E+03         0.159417E+04         0.907666E+03         0.157186E+04
   0.101000E+03         0.159454E+04         0.908039E+03         0.157267E+04
   0.102000E+03         0.159489E+04         0.908393E+03         0.157344E+04
   0.103000E+03         0.159523E+04         0.908729E+03         0.157417E+04
   0.104000E+03         0.159555E+04         0.909048E+03         0.157486E+04
   0.105000E+03         0.159585E+04         0.909352E+03         0.157552E+04
   0.106000E+03         0.159614E+04         0.909641E+03         0.157615E+04
   0.107000E+03         0.159642E+04         0.909915E+03         0.157674E+04
   0.108000E+03         0.159668E+04         0.910175E+03         0.157731E+04
   0.109000E+03         0.159692E+04         0.910423E+03         0.157785E+04
   0.110000E+03         0.159716E+04         0.910658E+03         0.157836E+04
   0.111000E+03         0.159738E+04         0.910882E+03         0.157884E+04
   0.112000E+03         0.159760E+04         0.911095E+03         0.157931E+04
   0.113000E+03         0.159780E+04         0.911297E+03         0.157974E+04
   0.114000E+03         0.159799E+04         0.911488E+03         0.158016E+04
   0.115000E+03         0.159817E+04         0.911671E+03         0.158056E+04
   0.116000E+03         0.159835E+04         0.911844E+03         0.158093E+04
   0.117000E+03         0.159851E+04         0.912009E+03         0.158129E+04
   0.118000E+03         0.159867E+04         0.912165E+03         0.158163E+04
   0.119000E+03         0.159881E+04         0.912314E+03         0.158195E+04
   0.120000E+03         0.159896E+04         0.912455E+03         0.158226E+04
   0.121000E+03         0.159909E+04         0.912590E+03         0.158255E+04
   0.122000E+03         0.159922E+04         0.912717E+03         0.158283E+04
   0.123000E+03         0.159934E+04         0.912838E+03         0.158309E+04
   0.124000E+03         0.159945E+04         0.912954E+03         0.158334E+04
   0.125000E+03         0.159956E+04         0.913063E+03         0.158358E+04
   0.126000E+03         0.159967E+04         0.913167E+03         0.158381E+04
   0.127000E+03         0.159977E+04         0.913266E+03         0.158402E+04
   0.128000E+03         0.159986E+04         0.913360E+03         0.158423E+04
   0.129000E+03         0.159995E+04         0.913449E+03         0.158442E+04
   0.130000E+03         0.160004E+04         0.913534E+03         0.158461E+04
   0.131000E+03         0.160012E+04         0.913615E+03         0.158478E+04
   0.132000E+03         0.160019E+04         0.913692E+03         0.158495E+04
   0.133000E+03         0.160027E+04         0.913764E+03         0.158511E+04
   0.134000E+03         0.160033E+04         0.913834E+03         0.158526E+04
   0.135000E+03         0.160040E+04         0.913899E+03         0.158540E+04
   0.136000E+03         0.160046E+04         0.913962E+03         0.158553E+04
   0.137000E+03         0.160052E+04         0.914021E+03         0.158566E+04
   0.138000E+03         0.160058E+04         0.914078E+03         0.158579E+04
   0.139000E+03         0.160063E+04         0.914131E+03         0.158590E+04
   0.140000E+03         0.160068E+04         0.914182E+03         0.158601E+04
   0.141000E+03         0.160073E+04         0.914231E+03         0.158612E+04
   0.142000E+03         0.160078E+04         0.914277E+03         0.158622E+04
   0.143000E+03         0.160082E+04         0.914321E+03         0.158631E+04
   0.144000E+03         0.160086E+04         0.914362E+03         0.158640E+04
   0.145000E+03         0.160090E+04         0.914402E+03         0.158649E+04
   0.146000E+03         0.160094E+04         0.914439E+03         0.158657E+04
   0.147000E+03         0.160098E+04         0.914475E+03         0.158665E+04
   0.148000E+03         0.160101E+04         0.914509E+03         0.158672E+04
   0.149000E+03         0.160104E+04         0.914541E+03         0.158679E+04
   0.150000E+03         0.160107E+04         0.914571E+03         0.158686E+04
   0.151000E+03         0.160110E+04         0.914601E+03         0.158692E+04
   0.152000E+03         0.160113E+04         0.914628E+03         0.158698E+04
   0.153000E+03         0.160116E+04         0.914654E+03         0.158704E+04
   0.154000E+03         0.160118E+04         0.914679E+03         0.158709E+04
   0.155000E+03         0.160120E+04         0.914703E+03         0.158714E+04
   0.156000E+03         0.160123E+04         0.914726E+03         0.158719E+04
   0.157000E+03         0.160125E+04         0.914747E+03         0.158724E+04
   0.158000E+03         0.160127E+04         0.914767E+03         0.158728E+04
   0.159000E+03         0.160129E+04         0.914787E+03         0.158733E+04
   0.160000E+03         0.160131E+04         0.914805E+03         0.158737E+04
   0.161000E+03         0.160132E+04         0.914823E+03         0.158740E+04
   0.162000E+03         0.160134E+04         0.914839E+03         0.158744E+04
   0.163000E+03         0.160136E+04         0.914855E+03         0.158747E+04
   0.164000E+03         0.160137E+04         0.914870E+03         0.158751E+04
   0.165000E+03         0.160139E+04         0.914884E+03         0.158754E+04
   0.166000E+03         0.160140E+04         0.914898E+03         0.158757E+04
   0.167000E+03         0.160141E+04         0.914911E+03         0.158759E+04
   0.168000E+03         0.160142E+04         0.914923E+03         0.158762E+04
   0.169000E+03         0.160144E+04         0.914934E+03         0.158765E+04
   0.170000E+03         0.160145E+04         0.914945E+03         0.158767E+04
   0.171000E+03         0.160146E+04         0.914956E+03         0.158769E+04
   0.172000E+03         0.160147E+04         0.914966E+03         0.158772E+04
   0.173000E+03         0.160148E+04         0.914975E+03         0.158774E+04
   0.174000E+03         0.160149E+04         0.914984E+03         0.158776E+04
   0.175000E+03         0.160149E+04         0.914993E+03         0.158777E+04
   0.176000E+03         0.160150E+04         0.915001E+03         0.158779E+04
   0.177000E+03         0.160151E+04         0.915009E+03         0.158781E+04
   0.178000E+03         0.160152E+04         0.915016E+03         0.158782E+04
   0.179000E+03         0.160152E+04         0.915023E+03         0.158784E+04
   0.180000E+03         0.160153E+04         0.915030E+03         0.158785E+04
   0.181000E+03         0.160154E+04         0.915036E+03         0.158787E+04
   0.182000E+03         0.160154E+04         0.915042E+03         0.158788E+04
   0.183000E+03         0.160155E+04         0.915048E+03         0.158789E+04
   0.184000E+03         0.160155E+04         0.915053E+03         0.158790E+04
   0.185000E+03         0.160156E+04         0.915058E+03         0.158792E+04
   0.186000E+03         0.160156E+04         0.915063E+03         0.158793E+04
   0.187000E+03         0.160157E+04         0.915068E+03         0.158794E+04
   0.188000E+03         0.160157E+04         0.915072E+03         0.158795E+04
   0.189000E+03         0.160158E+04         0.915076E+03         0.158795E+04
   0.190000E+03         0.160158E+04         0.915080E+03         0.158796E+04
   0.191000E+03         0.160159E+04         0.915084E+03         0.158797E+04
   0.192000E+03         0.160159E+04         0.915088E+03         0.158798E+04
   0.193000E+03         0.160159E+04         0.915091E+03         0.158799E+04
   0.194000E+03         0.160160E+04         0.915094E+03         0.158799E+04
   0.195000E+03         0.160160E+04         0.915098E+03         0.158800E+04
   0.196000E+03         0.160160E+04         0.915100E+03         0.158801E+04
   0.197000E+03         0.160160E+04         0.915103E+03         0.158801E+04
   0.198000E+03         0.160161E+04         0.915106E+03         0.158802E+04
   0.199000E+03         0.160161E+04         0.915108E+03         0.158802E+04
   0.200000E+03         0.160161E+04         0.915111E+03         0.158803E+04
   0.201000E+03         0.160161E+04         0.915113E+03         0.158803E+04
   0.202000E+03         0.160162E+04         0.915115E+03         0.158804E+04
   0.203000E+03         0.160162E+04         0.915117E+03         0.158804E+04
   0.204000E+03         0.160162E+04         0.915119E+03         0.158805E+04
   0.205000E+03         0.160162E+04         0.915121E+03         0.158805E+04
   0.206000E+03         0.160162E+04         0.915123E+03         0.158806E+04
   0.207000E+03         0.160163E+04         0.915124E+03         0.158806E+04
   0.208000E+03         0.160163E+04         0.915126E+03         0.158806E+04
   0.209000E+03         0.160163E+04         0.915128E+03         0.158807E+04
   0.210000E+03         0.160163E+04         0.915129E+03         0.158807E+04
   0.211000E+03         0.160163E+04         0.915130E+03         0.158807E+04
   0.212000E+03         0.160163E+04         0.915132E+03         0.158808E+04
   0.213000E+03         0.160163E+04         0.915133E+03         0.158808E+04
   0.214000E+03         0.160164E+04         0.915134E+03         0.158808E+04
   0.215000E+03         0.160164E+04         0.915135E+03         0.158808E+04
   0.216000E+03         0.160164E+04         0.915136E+03         0.158808E+04
   0.217000E+03         0.160164E+04         0.915137E+03         0.158809E+04
   0.218000E+03         0.160164E+04         0.915138E+03         0.158809E+04
   0.219000E+03         0.160164E+04         0.915139E+03         0.158809E+04
   0.220000E+03         0.160164E+04         0.915140E+03         0.158809E+04
   0.221000E+03         0.160164E+04         0.915141E+03         0.158809E+04
   0.222000E+03         0.160164E+04         0.915142E+03         0.158810E+04
   0.223000E+03         0.160164E+04         0.915142E+03         0.158810E+04
   0.224000E+03         0.160164E+04         0.915143E+03         0.158810E+04
   0.225000E+03         0.160164E+04         0.915144E+03         0.158810E+04
   0.226000E+03         0.160165E+04         0.915144E+03         0.158810E+04
   0.227000E+03         0.160165E+04         0.915145E+03         0.158810E+04
   0.228000E+03         0.160165E+04         0.915146E+03         0.158811E+04
   0.229000E+03         0.160165E+04         0.915146E+03         0.158811E+04
   0.230000E+03         0.160165E+04         0.915147E+03         0.158811E+04
   0.231000E+03         0.160165E+04         0.915147E+03         0.158811E+04
   0.232000E+03         0.160165E+04         0.915148E+03         0.158811E+04
   0.233000E+03         0.160165E+04         0.915148E+03         0.158811E+04
   0.234000E+03         0.160165E+04         0.915148E+03         0.158811E+04
   0.235000E+03         0.160165E+04         0.915149E+03         0.158811E+04
   0.236000E+03         0.160165E+04         0.915149E+03         0.158811E+04
   0.237000E+03         0.160165E+04         0.915150E+03         0.158811E+04
   0.238000E+03         0.160165E+04         0.915150E+03         0.158811E+04
   0.239000E+03         0.160165E+04         0.915150E+03         0.158812E+04
   0.240000E+03         0.160165E+04         0.915151E+03         0.158812E+04
   0.241000E+03         0.160165E+04         0.915151E+03         0.158812E+04
   0.242000E+03         0.160165E+04         0.915151E+03         0.158812E+04
   0.243000E+03         0.160165E+04         0.915151E+03         0.158812E+04
   0.244000E+03         0.160165E+04         0.915152E+03         0.158812E+04
   0.245000E+03         0.160165E+04         0.915152E+03         0.158812E+04
   0.246000E+03         0.160165E+04         0.915152E+03         0.158812E+04
   0.247000E+03         0.160165E+04         0.915152E+03         0.158812E+04
   0.248000E+03         0.160165E+04         0.915153E+03         0.158812E+04
   0.249000E+03         0.160165E+04         0.915153E+03         0.158812E+04
