#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.104984E+04   0.679777E+01
   0.100000E+01   0.187706E+04   0.350845E+02
   0.200000E+01   0.248372E+04   0.960442E+02
   0.300000E+01   0.294321E+04   0.188978E+03
   0.400000E+01   0.329887E+04   0.303923E+03
   0.500000E+01   0.357895E+04   0.429116E+03
   0.600000E+01   0.380297E+04   0.555021E+03
   0.700000E+01   0.398513E+04   0.675285E+03
   0.800000E+01   0.413593E+04   0.787053E+03
   0.900000E+01   0.426283E+04   0.889314E+03
   0.100000E+02   0.437085E+04   0.982003E+03
   0.110000E+02   0.446357E+04   0.106537E+04
   0.120000E+02   0.454366E+04   0.113984E+04
   0.130000E+02   0.461312E+04   0.120577E+04
   0.140000E+02   0.467354E+04   0.126382E+04
   0.150000E+02   0.472618E+04   0.131476E+04
   0.160000E+02   0.477210E+04   0.135938E+04
   0.170000E+02   0.481218E+04   0.139846E+04
   0.180000E+02   0.484719E+04   0.143263E+04
   0.190000E+02   0.487777E+04   0.146251E+04
   0.200000E+02   0.490449E+04   0.148863E+04
   0.210000E+02   0.492784E+04   0.151147E+04
   0.220000E+02   0.494824E+04   0.153144E+04
   0.230000E+02   0.496606E+04   0.154889E+04
   0.240000E+02   0.498164E+04   0.156414E+04
   0.250000E+02   0.499525E+04   0.157747E+04
   0.260000E+02   0.500715E+04   0.158913E+04
   0.270000E+02   0.501754E+04   0.159932E+04
   0.280000E+02   0.502663E+04   0.160823E+04
   0.290000E+02   0.503456E+04   0.161602E+04
   0.300000E+02   0.504150E+04   0.162283E+04
   0.310000E+02   0.504756E+04   0.162878E+04
   0.320000E+02   0.505286E+04   0.163398E+04
   0.330000E+02   0.505749E+04   0.163852E+04
   0.340000E+02   0.506154E+04   0.164249E+04
   0.350000E+02   0.506507E+04   0.164596E+04
   0.360000E+02   0.506816E+04   0.164900E+04
   0.370000E+02   0.507086E+04   0.165165E+04
   0.380000E+02   0.507322E+04   0.165396E+04
   0.390000E+02   0.507529E+04   0.165599E+04
   0.400000E+02   0.507709E+04   0.165776E+04
   0.410000E+02   0.507866E+04   0.165930E+04
   0.420000E+02   0.508004E+04   0.166065E+04
   0.430000E+02   0.508124E+04   0.166183E+04
   0.440000E+02   0.508229E+04   0.166287E+04
   0.450000E+02   0.508321E+04   0.166377E+04
   0.460000E+02   0.508401E+04   0.166455E+04
   0.470000E+02   0.508472E+04   0.166524E+04
   0.480000E+02   0.508533E+04   0.166585E+04
   0.490000E+02   0.508587E+04   0.166637E+04
   0.500000E+02   0.508633E+04   0.166683E+04
   0.510000E+02   0.508674E+04   0.166723E+04
   0.520000E+02   0.508710E+04   0.166758E+04
   0.530000E+02   0.508741E+04   0.166789E+04
   0.540000E+02   0.508769E+04   0.166816E+04
   0.550000E+02   0.508792E+04   0.166839E+04
   0.560000E+02   0.508813E+04   0.166860E+04
   0.570000E+02   0.508832E+04   0.166878E+04
   0.580000E+02   0.508847E+04   0.166893E+04
   0.590000E+02   0.508861E+04   0.166907E+04
   0.600000E+02   0.508874E+04   0.166919E+04
   0.610000E+02   0.508884E+04   0.166929E+04
   0.620000E+02   0.508893E+04   0.166939E+04
   0.630000E+02   0.508902E+04   0.166946E+04
   0.640000E+02   0.508909E+04   0.166953E+04
