#    time(ps)        R(t,x=0)       J(t,x=L)
   0.126000E+03   0.555785E+04   0.116595E+04
   0.127000E+03   0.555785E+04   0.116595E+04
   0.128000E+03   0.555785E+04   0.116595E+04
   0.129000E+03   0.555785E+04   0.116595E+04
   0.130000E+03   0.555785E+04   0.116595E+04
   0.131000E+03   0.555785E+04   0.116595E+04
   0.132000E+03   0.555785E+04   0.116595E+04
   0.133000E+03   0.555785E+04   0.116595E+04
   0.134000E+03   0.555785E+04   0.116595E+04
   0.135000E+03   0.555785E+04   0.116595E+04
   0.136000E+03   0.555785E+04   0.116595E+04
   0.137000E+03   0.555785E+04   0.116595E+04
   0.138000E+03   0.555785E+04   0.116595E+04
   0.139000E+03   0.555785E+04   0.116595E+04
   0.140000E+03   0.555785E+04   0.116595E+04
   0.141000E+03   0.555785E+04   0.116595E+04
   0.142000E+03   0.555785E+04   0.116595E+04
   0.143000E+03   0.555785E+04   0.116595E+04
   0.144000E+03   0.555785E+04   0.116595E+04
   0.145000E+03   0.555785E+04   0.116595E+04
   0.146000E+03   0.555785E+04   0.116595E+04
   0.147000E+03   0.555785E+04   0.116595E+04
   0.148000E+03   0.555785E+04   0.116595E+04
   0.149000E+03   0.555785E+04   0.116595E+04
   0.150000E+03   0.555785E+04   0.116595E+04
   0.151000E+03   0.555785E+04   0.116595E+04
   0.152000E+03   0.555785E+04   0.116595E+04
   0.153000E+03   0.555785E+04   0.116595E+04
   0.154000E+03   0.555785E+04   0.116595E+04
   0.155000E+03   0.555785E+04   0.116595E+04
   0.156000E+03   0.555785E+04   0.116595E+04
   0.157000E+03   0.555785E+04   0.116595E+04
   0.158000E+03   0.555785E+04   0.116595E+04
   0.159000E+03   0.555785E+04   0.116595E+04
   0.160000E+03   0.555785E+04   0.116595E+04
   0.161000E+03   0.555785E+04   0.116595E+04
   0.162000E+03   0.555785E+04   0.116595E+04
   0.163000E+03   0.555785E+04   0.116595E+04
   0.164000E+03   0.555785E+04   0.116595E+04
   0.165000E+03   0.555785E+04   0.116595E+04
   0.166000E+03   0.555785E+04   0.116595E+04
   0.167000E+03   0.555785E+04   0.116595E+04
   0.168000E+03   0.555785E+04   0.116595E+04
   0.169000E+03   0.555785E+04   0.116595E+04
   0.170000E+03   0.555785E+04   0.116595E+04
   0.171000E+03   0.555785E+04   0.116595E+04
   0.172000E+03   0.555785E+04   0.116595E+04
   0.173000E+03   0.555785E+04   0.116595E+04
   0.174000E+03   0.555785E+04   0.116595E+04
   0.175000E+03   0.555785E+04   0.116595E+04
   0.176000E+03   0.555785E+04   0.116595E+04
   0.177000E+03   0.555785E+04   0.116595E+04
   0.178000E+03   0.555785E+04   0.116595E+04
   0.179000E+03   0.555785E+04   0.116595E+04
   0.180000E+03   0.555785E+04   0.116595E+04
   0.181000E+03   0.555785E+04   0.116595E+04
