#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.676558E+03   0.222536E+02
   0.100000E+01   0.127873E+04   0.109866E+03
   0.200000E+01   0.176918E+04   0.286750E+03
   0.300000E+01   0.216775E+04   0.533718E+03
   0.400000E+01   0.249483E+04   0.807537E+03
   0.500000E+01   0.276452E+04   0.107098E+04
   0.600000E+01   0.298857E+04   0.130514E+04
   0.700000E+01   0.317612E+04   0.150711E+04
   0.800000E+01   0.333438E+04   0.167988E+04
   0.900000E+01   0.346887E+04   0.182731E+04
   0.100000E+02   0.358350E+04   0.195356E+04
   0.110000E+02   0.368122E+04   0.206100E+04
   0.120000E+02   0.376437E+04   0.215160E+04
   0.130000E+02   0.383497E+04   0.222733E+04
   0.140000E+02   0.389473E+04   0.229030E+04
   0.150000E+02   0.394514E+04   0.234244E+04
   0.160000E+02   0.398757E+04   0.238562E+04
   0.170000E+02   0.402319E+04   0.242142E+04
   0.180000E+02   0.405305E+04   0.245118E+04
   0.190000E+02   0.407804E+04   0.247602E+04
   0.200000E+02   0.409894E+04   0.249681E+04
   0.210000E+02   0.411643E+04   0.251420E+04
   0.220000E+02   0.413104E+04   0.252875E+04
   0.230000E+02   0.414325E+04   0.254095E+04
   0.240000E+02   0.415345E+04   0.255116E+04
   0.250000E+02   0.416197E+04   0.255970E+04
   0.260000E+02   0.416909E+04   0.256684E+04
   0.270000E+02   0.417505E+04   0.257281E+04
   0.280000E+02   0.418002E+04   0.257780E+04
   0.290000E+02   0.418418E+04   0.258197E+04
   0.300000E+02   0.418765E+04   0.258546E+04
   0.310000E+02   0.419056E+04   0.258838E+04
   0.320000E+02   0.419299E+04   0.259082E+04
   0.330000E+02   0.419502E+04   0.259285E+04
   0.340000E+02   0.419671E+04   0.259456E+04
   0.350000E+02   0.419813E+04   0.259598E+04
   0.360000E+02   0.419932E+04   0.259717E+04
   0.370000E+02   0.420031E+04   0.259817E+04
   0.380000E+02   0.420114E+04   0.259900E+04
   0.390000E+02   0.420183E+04   0.259969E+04
   0.400000E+02   0.420241E+04   0.260027E+04
   0.410000E+02   0.420289E+04   0.260076E+04
   0.420000E+02   0.420330E+04   0.260117E+04
   0.430000E+02   0.420364E+04   0.260151E+04
