#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.123338E+04   0.335672E+01
   0.100000E+01   0.216024E+04   0.178638E+02
   0.200000E+01   0.280592E+04   0.505255E+02
   0.300000E+01   0.327446E+04   0.103649E+03
   0.400000E+01   0.362591E+04   0.174301E+03
   0.500000E+01   0.389615E+04   0.256850E+03
   0.600000E+01   0.410882E+04   0.345156E+03
   0.700000E+01   0.427995E+04   0.434588E+03
   0.800000E+01   0.442060E+04   0.522021E+03
   0.900000E+01   0.453838E+04   0.605475E+03
   0.100000E+02   0.463854E+04   0.683701E+03
   0.110000E+02   0.472473E+04   0.755918E+03
   0.120000E+02   0.479956E+04   0.821841E+03
   0.130000E+02   0.486494E+04   0.881493E+03
   0.140000E+02   0.492235E+04   0.935152E+03
   0.150000E+02   0.497292E+04   0.983225E+03
   0.160000E+02   0.501758E+04   0.102617E+04
   0.170000E+02   0.505707E+04   0.106447E+04
   0.180000E+02   0.509205E+04   0.109858E+04
   0.190000E+02   0.512305E+04   0.112893E+04
   0.200000E+02   0.515054E+04   0.115593E+04
   0.210000E+02   0.517493E+04   0.117992E+04
   0.220000E+02   0.519657E+04   0.120125E+04
   0.230000E+02   0.521579E+04   0.122019E+04
   0.240000E+02   0.523284E+04   0.123702E+04
   0.250000E+02   0.524798E+04   0.125198E+04
   0.260000E+02   0.526143E+04   0.126526E+04
   0.270000E+02   0.527337E+04   0.127705E+04
   0.280000E+02   0.528397E+04   0.128753E+04
   0.290000E+02   0.529338E+04   0.129684E+04
   0.300000E+02   0.530174E+04   0.130510E+04
   0.310000E+02   0.530916E+04   0.131244E+04
   0.320000E+02   0.531575E+04   0.131896E+04
   0.330000E+02   0.532161E+04   0.132475E+04
   0.340000E+02   0.532681E+04   0.132989E+04
   0.350000E+02   0.533142E+04   0.133445E+04
   0.360000E+02   0.533552E+04   0.133851E+04
   0.370000E+02   0.533917E+04   0.134211E+04
   0.380000E+02   0.534240E+04   0.134530E+04
   0.390000E+02   0.534527E+04   0.134814E+04
   0.400000E+02   0.534782E+04   0.135067E+04
   0.410000E+02   0.535009E+04   0.135290E+04
   0.420000E+02   0.535210E+04   0.135489E+04
   0.430000E+02   0.535388E+04   0.135666E+04
   0.440000E+02   0.535547E+04   0.135823E+04
   0.450000E+02   0.535688E+04   0.135962E+04
   0.460000E+02   0.535813E+04   0.136086E+04
   0.470000E+02   0.535924E+04   0.136196E+04
   0.480000E+02   0.536022E+04   0.136293E+04
   0.490000E+02   0.536110E+04   0.136380E+04
   0.500000E+02   0.536188E+04   0.136457E+04
   0.510000E+02   0.536257E+04   0.136525E+04
   0.520000E+02   0.536318E+04   0.136586E+04
   0.530000E+02   0.536373E+04   0.136639E+04
   0.540000E+02   0.536421E+04   0.136687E+04
   0.550000E+02   0.536464E+04   0.136730E+04
   0.560000E+02   0.536502E+04   0.136767E+04
   0.570000E+02   0.536536E+04   0.136801E+04
   0.580000E+02   0.536566E+04   0.136831E+04
   0.590000E+02   0.536593E+04   0.136857E+04
   0.600000E+02   0.536616E+04   0.136881E+04
   0.610000E+02   0.536638E+04   0.136901E+04
   0.620000E+02   0.536656E+04   0.136920E+04
   0.630000E+02   0.536673E+04   0.136936E+04
   0.640000E+02   0.536688E+04   0.136951E+04
   0.650000E+02   0.536701E+04   0.136964E+04
   0.660000E+02   0.536712E+04   0.136975E+04
   0.670000E+02   0.536723E+04   0.136986E+04
   0.680000E+02   0.536732E+04   0.136995E+04
   0.690000E+02   0.536740E+04   0.137003E+04
   0.700000E+02   0.536747E+04   0.137010E+04
   0.710000E+02   0.536754E+04   0.137016E+04
   0.720000E+02   0.536759E+04   0.137022E+04
   0.730000E+02   0.536764E+04   0.137027E+04
   0.740000E+02   0.536769E+04   0.137031E+04
   0.750000E+02   0.536773E+04   0.137035E+04
   0.760000E+02   0.536777E+04   0.137039E+04
   0.770000E+02   0.536780E+04   0.137042E+04
   0.780000E+02   0.536782E+04   0.137045E+04
   0.790000E+02   0.536785E+04   0.137047E+04
   0.800000E+02   0.536787E+04   0.137049E+04
   0.810000E+02   0.536789E+04   0.137051E+04
   0.820000E+02   0.536791E+04   0.137053E+04
   0.830000E+02   0.536792E+04   0.137055E+04
   0.840000E+02   0.536794E+04   0.137056E+04
   0.850000E+02   0.536795E+04   0.137057E+04
   0.860000E+02   0.536796E+04   0.137058E+04
   0.870000E+02   0.536797E+04   0.137059E+04
   0.880000E+02   0.536798E+04   0.137060E+04
   0.890000E+02   0.536799E+04   0.137061E+04
   0.900000E+02   0.536799E+04   0.137061E+04
   0.910000E+02   0.536800E+04   0.137062E+04
   0.920000E+02   0.536800E+04   0.137062E+04
   0.930000E+02   0.536801E+04   0.137063E+04
   0.940000E+02   0.536801E+04   0.137063E+04
   0.950000E+02   0.536802E+04   0.137064E+04
   0.960000E+02   0.536802E+04   0.137064E+04
   0.970000E+02   0.536802E+04   0.137064E+04
   0.980000E+02   0.536803E+04   0.137065E+04
   0.990000E+02   0.536803E+04   0.137065E+04
   0.100000E+03   0.536803E+04   0.137065E+04
   0.101000E+03   0.536803E+04   0.137065E+04
   0.102000E+03   0.536803E+04   0.137065E+04
   0.103000E+03   0.536804E+04   0.137066E+04
