#    time(ps)        R(t,x=0)       J(t,x=L)
   0.000000E+00   0.133993E+04   0.208007E+01
   0.100000E+01   0.231841E+04   0.113175E+02
   0.200000E+01   0.297984E+04   0.331025E+02
   0.300000E+01   0.344843E+04   0.703749E+02
   0.400000E+01   0.379413E+04   0.122452E+03
   0.500000E+01   0.405709E+04   0.185838E+03
   0.600000E+01   0.426247E+04   0.256291E+03
   0.700000E+01   0.442694E+04   0.330006E+03
   0.800000E+01   0.456171E+04   0.403995E+03
   0.900000E+01   0.467442E+04   0.476083E+03
   0.100000E+02   0.477028E+04   0.544801E+03
   0.110000E+02   0.485288E+04   0.609231E+03
   0.120000E+02   0.492478E+04   0.668902E+03
   0.130000E+02   0.498785E+04   0.723673E+03
   0.140000E+02   0.504347E+04   0.773610E+03
   0.150000E+02   0.509275E+04   0.818923E+03
   0.160000E+02   0.513653E+04   0.859898E+03
   0.170000E+02   0.517551E+04   0.896859E+03
   0.180000E+02   0.521029E+04   0.930142E+03
   0.190000E+02   0.524136E+04   0.960073E+03
   0.200000E+02   0.526913E+04   0.986967E+03
   0.210000E+02   0.529398E+04   0.101112E+04
   0.220000E+02   0.531621E+04   0.103279E+04
   0.230000E+02   0.533612E+04   0.105223E+04
   0.240000E+02   0.535395E+04   0.106967E+04
   0.250000E+02   0.536992E+04   0.108531E+04
   0.260000E+02   0.538423E+04   0.109933E+04
   0.270000E+02   0.539705E+04   0.111190E+04
   0.280000E+02   0.540854E+04   0.112317E+04
   0.290000E+02   0.541884E+04   0.113327E+04
   0.300000E+02   0.542806E+04   0.114232E+04
   0.310000E+02   0.543633E+04   0.115044E+04
   0.320000E+02   0.544374E+04   0.115771E+04
   0.330000E+02   0.545038E+04   0.116423E+04
   0.340000E+02   0.545633E+04   0.117007E+04
   0.350000E+02   0.546167E+04   0.117531E+04
   0.360000E+02   0.546645E+04   0.118000E+04
   0.370000E+02   0.547073E+04   0.118421E+04
   0.380000E+02   0.547457E+04   0.118798E+04
   0.390000E+02   0.547801E+04   0.119136E+04
   0.400000E+02   0.548109E+04   0.119439E+04
   0.410000E+02   0.548386E+04   0.119710E+04
   0.420000E+02   0.548634E+04   0.119954E+04
   0.430000E+02   0.548856E+04   0.120172E+04
   0.440000E+02   0.549055E+04   0.120367E+04
   0.450000E+02   0.549233E+04   0.120542E+04
   0.460000E+02   0.549393E+04   0.120699E+04
   0.470000E+02   0.549536E+04   0.120840E+04
   0.480000E+02   0.549664E+04   0.120966E+04
   0.490000E+02   0.549779E+04   0.121079E+04
   0.500000E+02   0.549883E+04   0.121180E+04
   0.510000E+02   0.549975E+04   0.121271E+04
   0.520000E+02   0.550058E+04   0.121353E+04
   0.530000E+02   0.550132E+04   0.121425E+04
   0.540000E+02   0.550199E+04   0.121491E+04
   0.550000E+02   0.550258E+04   0.121549E+04
   0.560000E+02   0.550312E+04   0.121602E+04
   0.570000E+02   0.550360E+04   0.121649E+04
   0.580000E+02   0.550403E+04   0.121691E+04
   0.590000E+02   0.550441E+04   0.121729E+04
   0.600000E+02   0.550476E+04   0.121763E+04
   0.610000E+02   0.550507E+04   0.121793E+04
   0.620000E+02   0.550534E+04   0.121820E+04
   0.630000E+02   0.550559E+04   0.121845E+04
   0.640000E+02   0.550581E+04   0.121867E+04
   0.650000E+02   0.550601E+04   0.121886E+04
   0.660000E+02   0.550619E+04   0.121904E+04
   0.670000E+02   0.550635E+04   0.121919E+04
   0.680000E+02   0.550650E+04   0.121934E+04
   0.690000E+02   0.550662E+04   0.121946E+04
   0.700000E+02   0.550674E+04   0.121957E+04
   0.710000E+02   0.550684E+04   0.121968E+04
   0.720000E+02   0.550694E+04   0.121977E+04
   0.730000E+02   0.550702E+04   0.121985E+04
   0.740000E+02   0.550709E+04   0.121992E+04
   0.750000E+02   0.550716E+04   0.121999E+04
   0.760000E+02   0.550722E+04   0.122005E+04
   0.770000E+02   0.550727E+04   0.122010E+04
   0.780000E+02   0.550732E+04   0.122015E+04
   0.790000E+02   0.550736E+04   0.122019E+04
   0.800000E+02   0.550740E+04   0.122023E+04
   0.810000E+02   0.550744E+04   0.122026E+04
   0.820000E+02   0.550747E+04   0.122029E+04
   0.830000E+02   0.550750E+04   0.122032E+04
   0.840000E+02   0.550752E+04   0.122034E+04
   0.850000E+02   0.550754E+04   0.122036E+04
   0.860000E+02   0.550756E+04   0.122038E+04
   0.870000E+02   0.550758E+04   0.122040E+04
   0.880000E+02   0.550760E+04   0.122042E+04
   0.890000E+02   0.550761E+04   0.122043E+04
   0.900000E+02   0.550762E+04   0.122044E+04
   0.910000E+02   0.550764E+04   0.122046E+04
   0.920000E+02   0.550765E+04   0.122047E+04
   0.930000E+02   0.550766E+04   0.122047E+04
   0.940000E+02   0.550766E+04   0.122048E+04
   0.950000E+02   0.550767E+04   0.122049E+04
   0.960000E+02   0.550768E+04   0.122050E+04
   0.970000E+02   0.550768E+04   0.122050E+04
   0.980000E+02   0.550769E+04   0.122051E+04
   0.990000E+02   0.550769E+04   0.122051E+04
   0.100000E+03   0.550770E+04   0.122052E+04
   0.101000E+03   0.550770E+04   0.122052E+04
   0.102000E+03   0.550771E+04   0.122052E+04
   0.103000E+03   0.550771E+04   0.122053E+04
